regime,comparison,reference,window,corrected_rate,reference_rate,rate_ratio,rate_difference,kinetic_crossover
C_GB,corrected_vs_no_C,B0,N190_to_175,0.044616719842150904,0.042985451503228536,1.0379493126598855,0.0016312683389223676,False
C_GB,corrected_vs_no_C,B0,N175_to_160,0.03839775403959432,0.041742838349570544,0.919864473949682,-0.0033450843099762234,True
C_GB,corrected_vs_no_C,B0,N190_to_160,0.0329095099979542,0.040375975156180376,0.8150765367438245,-0.007466465158226174,False
C_GB,corrected_vs_no_C,B0,N160_to_140,0.05170861280439493,0.058391205644209666,0.8855548063087919,-0.00668259283981474,False
C_GB,corrected_vs_no_C,B0,N140_to_120,0.04111567711298303,0.05888620859858689,0.6982225225817934,-0.017770531485603862,False
C_GB,corrected_vs_no_C,B0,N120_to_100,0.029208934987947834,0.03702449577929127,0.7889083800645605,-0.007815560791343434,False
C_GB,corrected_vs_no_C,B0,N100_to_80,0.024272331544528576,0.026904868798522264,0.9021538713417447,-0.002632537253993688,False
C_GB,corrected_vs_no_C,B0,N80_to_70,0.014978493194309926,0.046842880935946934,0.3197602900383423,-0.03186438774163701,False
C_GB,corrected_vs_legacy_C,LEGACY_C,N190_to_175,0.044616719842150904,0.008108919558754644,5.502178128525309,0.03650780028339626,False
C_GB,corrected_vs_legacy_C,LEGACY_C,N175_to_160,0.03839775403959432,0.004205416858354633,9.130546467304889,0.034192337181239686,False
C_GB,corrected_vs_legacy_C,LEGACY_C,N190_to_160,0.0329095099979542,0.004708074602664175,6.9900145548525465,0.028201435395290027,False
C_GB,corrected_vs_legacy_C,LEGACY_C,N160_to_140,0.05170861280439493,0.0043902175996715555,11.778143481604054,0.04731839520472337,False
C_GB,corrected_vs_legacy_C,LEGACY_C,N140_to_120,0.04111567711298303,0.0038260977463450865,10.74611257703992,0.037289579366637945,False
C_GB,corrected_vs_legacy_C,LEGACY_C,N120_to_100,0.029208934987947834,0.004089985604030844,7.1415740336986175,0.02511894938391699,False
C_GB,corrected_vs_legacy_C,LEGACY_C,N100_to_80,0.024272331544528576,,,,False
C_GB,corrected_vs_legacy_C,LEGACY_C,N80_to_70,0.014978493194309926,,,,False
GC_GB,corrected_vs_no_C,G,N190_to_175,0.023414327673840156,0.017548546022659726,1.3342602654149343,0.0058657816511804295,False
GC_GB,corrected_vs_no_C,G,N175_to_160,0.030135556605447016,0.030518413718749512,0.9874548816058785,-0.0003828571133024962,True
GC_GB,corrected_vs_no_C,G,N190_to_160,0.024411227711166373,0.024481694496542774,0.9971216540837746,-7.0466785376401e-05,False
GC_GB,corrected_vs_no_C,G,N160_to_140,0.022047069391602524,0.025455106513215118,0.8661157783864193,-0.003408037121612594,False
GC_GB,corrected_vs_no_C,G,N140_to_120,0.045278651883274,0.06023704946447922,0.7516744642344088,-0.014958397581205221,False
GC_GB,corrected_vs_no_C,G,N120_to_100,0.03005516802677207,0.031546722335500474,0.9527191987533389,-0.001491554308728403,False
GC_GB,corrected_vs_no_C,G,N100_to_80,0.018152915767583284,0.026975842934612547,0.6729322902563086,-0.008822927167029263,False
