sink_model,regime,mechanism_count,target_standardized_RMS,Pareto_optimal,N190_160_growth_rate,N190_160_jerkiness_CV,N190_160_stationary_fraction,N190_160_motion_top_5pct,C_occupancy,f_TJ
GB,C_GB,1,1.4439261549127542,True,0.0329095099979542,0.9361870529951458,0.0,0.37495407558678834,0.03622354370484046,0.0
GB,GC_GB,2,0.9149917663072914,False,0.024411227711166373,0.5796561811979415,0.09090909090909091,0.19241996121896363,0.02782646801051709,0.0
GB,TC_GB,2,0.5265262904993316,True,0.019795727924947187,0.47745357571560687,0.0,0.2334283935871753,0.020665009322560598,0.0
GB,SC_GB,2,1.972213217858818,False,0.00029168067730775063,3.816126197799754,0.30808080808080807,0.7345930798283475,0.01723158492709714,0.0
GB,GTC_GB,3,0.44880232572681744,True,0.01709057210180703,0.916084629111085,0.07142857142857142,0.24536108764448766,0.01759722869119702,0.0
GB,GSC_GB,3,0.5403511432873553,False,0.01832219476621482,0.9307813697886383,0.0,0.21640255518027993,0.02167651660869652,0.0
GB,TSC_GB,3,1.756924857353582,False,0.0005002920970930036,3.1365384221616583,0.3248730964467005,0.634197527455036,0.006204767603716697,0.0
GB,GTSC_GB,4,0.0,True,0.015465013671066502,0.7211812343341345,0.0,0.1347202042450793,0.010998457853463267,0.0
GBTJ,C_GBTJ,1,0.9382785043716271,True,0.03794724074517897,0.66204954072446,0.0,0.30406546850899707,0.012086029691663494,0.5648050235133589
GBTJ,GC_GBTJ,2,0.7758492024427317,True,0.025662500936422916,0.8319134049078871,0.0,0.31441991406278635,0.008346293416277864,0.4598087170125245
GBTJ,TC_GBTJ,2,1.0663034272234524,False,0.0376800906336273,0.6775229861654507,0.14285714285714285,0.2617618671260138,0.012443738416732858,0.5563069605888143
GBTJ,SC_GBTJ,2,1.9003972094129353,False,0.0004158905904424048,3.3980662287939953,0.27918781725888325,0.647796758652755,0.00860753530574416,0.5862023472105878
GBTJ,GTC_GBTJ,3,0.7348730456605308,False,0.024740959356832837,0.65544051208761,0.0,0.24765165734945543,0.008044439175572002,0.4652115551385793
GBTJ,GSC_GBTJ,3,0.3259774012948366,True,0.018094858173454582,0.8133179542070624,0.0,0.17562389462931385,0.00879799291537201,0.5142429070272647
GBTJ,TSC_GBTJ,3,1.998763287986342,False,0.0003287117336279941,3.5405183387533428,0.25888324873096447,0.7201919556190552,0.01019198497375025,0.6084463095767786
GBTJ,GTSC_GBTJ,4,0.0,True,0.01847326487745463,0.6911342290723212,0.0,0.13578542881049133,0.009993695252659395,0.5206307862711413
