sink_model,metric,effect,high_minus_low_effect
GB,N190_160_growth_rate,G,0.005447949388238148
GB,N190_160_growth_rate,T,-0.005770751839432357
GB,N190_160_growth_rate,S,-0.014906964131048172
GB,N190_160_growth_rate,G:T,0.0006818334871785216
GB,N190_160_growth_rate,G:S,0.011049668443202137
GB,N190_160_growth_rate,T:S,0.0044464670017508165
GB,N190_160_growth_rate,G:T:S,-0.002214729744645308
GB,N190_160_jerkiness_CV,G,-1.304650458560091
GB,N190_160_jerkiness_CV,T,-0.2528732351147478
GB,N190_160_jerkiness_CV,S,1.4238114462661025
GB,N190_160_jerkiness_CV,G:T,0.3162873913440691
GB,N190_160_jerkiness_CV,G:S,-1.345700549359229
GB,N190_160_jerkiness_CV,T:S,-0.19172072043155064
GB,N190_160_jerkiness_CV,G:T:S,-0.08129357125227216
GB,N190_160_stationary_fraction,G,-0.11765406054746158
GB,N190_160_stationary_fraction,T,-0.00067205777865674
GB,N190_160_stationary_fraction,S,0.11765406054746165
GB,N190_160_stationary_fraction,G:T,-0.009068201961602934
GB,N190_160_stationary_fraction,G:S,-0.19882289171629283
GB,N190_160_stationary_fraction,T:S,0.009068201961603007
GB,N190_160_stationary_fraction,G:T:S,0.0006720577786568094
GB,N190_160_motion_top_5pct,G,-0.29706731704213407
GB,N190_160_motion_top_5pct,T,-0.06766561472065014
GB,N190_160_motion_top_5pct,S,0.16843746216783206
GB,N190_160_motion_top_5pct,G:T,0.05329500246581202
GB,N190_160_motion_top_5pct,G:S,-0.21176660688687807
GB,N190_160_motion_top_5pct,T:S,-0.023373336933605715
GB,N190_160_motion_top_5pct,G:T:S,-0.04393840174675641
GB,G_occupancy,G,0.07342791982764284
GB,G_occupancy,T,-0.0026193675106991315
GB,G_occupancy,S,-0.03955429782050655
GB,G_occupancy,G:T,-0.0026193675106991263
GB,G_occupancy,G:S,-0.039554297820506595
GB,G_occupancy,T:S,8.640782975796605e-05
GB,G_occupancy,G:T:S,8.640782975796735e-05
GB,T_occupancy,G,-0.002133862293327577
GB,T_occupancy,T,0.05434900604407356
GB,T_occupancy,S,-0.01084626064916304
GB,T_occupancy,G:T,-0.0021338622933275977
GB,T_occupancy,G:S,0.006214443473715073
GB,T_occupancy,T:S,-0.010846260649163036
GB,T_occupancy,G:T:S,0.0062144434737150915
GB,C_occupancy,G,-0.0005565585985852486
GB,C_occupancy,T,-0.011873162445053407
GB,C_occupancy,S,-0.011550230684035384
GB,C_occupancy,G:T,0.0014195134077767423
GB,C_occupancy,G:S,0.005175869564258227
GB,C_occupancy,T:S,0.0010207244057465602
GB,C_occupancy,G:T:S,-0.0012451341237031536
GB,f_TJ,G,0.0
GB,f_TJ,T,0.0
GB,f_TJ,S,0.0
GB,f_TJ,G:T,0.0
GB,f_TJ,G:S,0.0
GB,f_TJ,T:S,0.0
GB,f_TJ,G:T:S,0.0
GBTJ,N190_160_growth_rate,G,0.002649912410322073
GBTJ,N190_160_growth_rate,T,-0.00022436596098902327
GBTJ,N190_160_growth_rate,S,-0.0221795165742706
GBTJ,N190_160_growth_rate,G:T,-4.720147680599505e-05
GBTJ,N190_160_growth_rate,G:S,0.01526184795309734
GBTJ,N190_160_growth_rate,T:S,0.0003699798845818431
GBTJ,N190_160_growth_rate,G:T:S,0.00027999425721321426
GBTJ,N190_160_jerkiness_CV,G,-1.3215877485405916
GBTJ,N190_160_jerkiness_CV,T,-0.03518276563866927
GBTJ,N190_160_jerkiness_CV,S,1.4040275767353292
GBTJ,N190_160_jerkiness_CV,G:T,-0.11414554333883886
GBTJ,N190_160_jerkiness_CV,G:S,-1.3954784435933856
GBTJ,N190_160_jerkiness_CV,T:S,0.045316958050973424
GBTJ,N190_160_jerkiness_CV,G:T:S,-0.0181723742082045
GBTJ,N190_160_stationary_fraction,G,-0.17023205221174761
GBTJ,N190_160_stationary_fraction,T,0.03063814358230605
GBTJ,N190_160_stationary_fraction,S,0.09880348078317627
GBTJ,N190_160_stationary_fraction,G:T,-0.030638143582305995
GBTJ,N190_160_stationary_fraction,G:S,-0.09880348078317623
GBTJ,N190_160_stationary_fraction,T:S,-0.0407904278462654
GBTJ,N190_160_stationary_fraction,G:T:S,0.04079042784626546
GBTJ,N190_160_motion_top_5pct,G,-0.2650837887636933
GBTJ,N190_160_motion_top_5pct,T,-0.019128781737209027
GBTJ,N190_160_motion_top_5pct,S,0.13787478266609077
GBTJ,N190_160_motion_top_5pct,G:T,-0.03417457952886763
GBTJ,N190_160_motion_top_5pct,G:S,-0.26320590665230914
GBTJ,N190_160_motion_top_5pct,T:S,0.03540714731094793
GBTJ,N190_160_motion_top_5pct,G:T:S,-0.02194225186369364
GBTJ,G_occupancy,G,0.07816990289425334
GBTJ,G_occupancy,T,-0.0009642772782496572
GBTJ,G_occupancy,S,-0.044087146286000994
GBTJ,G_occupancy,G:T,-0.0009642772782496659
GBTJ,G_occupancy,G:S,-0.04408714628600102
GBTJ,G_occupancy,T:S,-0.0008358555881845899
GBTJ,G_occupancy,G:T:S,-0.0008358555881845531
GBTJ,T_occupancy,G,-0.000444982003824815
GBTJ,T_occupancy,T,2.258655714498459e-05
GBTJ,T_occupancy,S,-0.0005538863675499325
GBTJ,T_occupancy,G:T,-6.415723982478868e-05
GBTJ,T_occupancy,G:S,0.0002919850034536177
GBTJ,T_occupancy,T:S,6.336525467295987e-05
