sink_model,metric,effect,high_minus_low_effect
GBTJ,T_occupancy,G:T:S,6.104575587097375e-05
GBTJ,C_occupancy,G,-0.0020367169070023726
GBTJ,C_occupancy,T,0.0007090016224142456
GBTJ,C_occupancy,S,-0.0008323230631801005
GBTJ,C_occupancy,G:T,-0.000262077574123483
GBTJ,C_occupancy,G:S,0.0020328008512708715
GBTJ,C_occupancy,T:S,0.0006810743802324933
GBTJ,C_occupancy,G:T:S,6.770390876413026e-05
GBTJ,f_TJ,G,-0.08896666886000734
GBTJ,f_TJ,T,0.006384154202894541
GBTJ,f_TJ,S,0.04584752345812394
GBTJ,f_TJ,G:T,-0.0004887955179287973
GBTJ,f_TJ,G:S,0.00907918711552717
GBTJ,f_TJ,T:S,0.007931766602139179
GBTJ,f_TJ,G:T:S,-0.007439246043228272
