campaign,regime,window,N_high,N_low,samples,time_start,time_end,duration,N_start,N_end,growth_rate,jerkiness_CV,stationary_fraction,motion_top_5pct
corrected,C_GB,N190_to_175,190,175,4,4.000000000000003,9.999999999999964,5.999999999999962,188.0,176.0,0.044616719842150904,0.5701270293495838,0.0,0.544123644700493
corrected,C_GB,N175_to_160,175,160,5,11.99999999999992,19.99999999999975,7.999999999999831,173.0,161.0,0.03839775403959432,1.182316773021347,0.0,0.7601720408966172
corrected,C_GB,N190_to_160,190,160,9,4.000000000000003,19.99999999999975,15.999999999999748,188.0,161.0,0.0329095099979542,0.9361870529951458,0.0,0.37495407558678834
corrected,C_GB,N160_to_140,160,140,6,21.99999999999971,31.999999999999496,9.999999999999787,159.0,140.0,0.05170861280439493,0.6185345366967279,0.0,0.35346657390924924
corrected,C_GB,N140_to_120,140,120,7,31.999999999999496,43.99999999999924,11.999999999999744,140.0,123.0,0.04111567711298303,0.7597232282980607,0.0,0.3571374011432035
corrected,C_GB,N120_to_100,120,100,12,45.9999999999992,67.99999999999943,22.000000000000234,118.0,100.0,0.029208934987947834,0.7635353211838096,0.0,0.19828822380071617
corrected,C_GB,N100_to_80,100,80,19,67.99999999999943,104.00000000000506,36.00000000000563,100.0,80.0,0.024272331544528576,0.7104790879350688,0.0,0.13995930854625988
corrected,C_GB,N80_to_70,80,70,12,104.00000000000506,125.96000000000848,21.96000000000342,80.0,70.0,0.014978493194309926,1.0568073433551672,0.0,0.37721410858459337
corrected,GC_GB,N190_to_175,190,175,6,6.000000000000004,15.999999999999837,9.999999999999833,187.0,175.0,0.023414327673840156,0.7581365421402715,0.2,0.41202714345855834
corrected,GC_GB,N175_to_160,175,160,7,15.999999999999837,27.99999999999958,11.999999999999744,175.0,160.0,0.030135556605447016,0.42913679468576965,0.0,0.3052640954460704
corrected,GC_GB,N190_to_160,190,160,12,6.000000000000004,27.99999999999958,21.999999999999577,187.0,160.0,0.024411227711166373,0.5796561811979415,0.09090909090909091,0.19241996121896363
corrected,GC_GB,N160_to_140,160,140,12,25.999999999999623,47.999999999999154,21.99999999999953,160.0,140.0,0.022047069391602524,0.8097836251431969,0.18181818181818182,0.1958221575004624
corrected,GC_GB,N140_to_120,140,120,9,47.999999999999154,63.99999999999881,15.999999999999659,140.0,120.0,0.045278651883274,0.4630454042657522,0.0,0.22223053946327243
corrected,GC_GB,N120_to_100,120,100,13,63.99999999999881,88.00000000000256,24.000000000003745,120.0,103.0,0.03005516802677207,0.6538814345415096,0.0,0.2057439565337509
corrected,GC_GB,N100_to_80,100,80,27,90.00000000000287,142.00000000000605,52.00000000000318,99.0,80.0,0.018152915767583284,0.6114897034381703,0.0,0.210599739475713
corrected,GC_GB,N80_to_70,80,70,12,142.00000000000605,162.88000000000187,20.879999999995817,80.0,70.0,0.02616380144970841,1.1706374942238769,0.0,0.4067432267553248
corrected,TC_GB,N190_to_175,190,175,4,6.000000000000004,11.99999999999992,5.999999999999916,185.0,179.0,0.010272159313555384,0.16976129371323184,0.0,0.38403666319110374
corrected,TC_GB,N175_to_160,175,160,6,13.999999999999876,23.999999999999662,9.999999999999787,174.0,162.0,0.02219791146701235,0.4179647972559023,0.0,0.29002730945099026
corrected,TC_GB,N190_to_160,190,160,10,6.000000000000004,23.999999999999662,17.99999999999966,185.0,162.0,0.019795727924947187,0.47745357571560687,0.0,0.2334283935871753
corrected,TC_GB,N160_to_140,160,140,8,25.999999999999623,39.999999999999325,13.999999999999702,156.0,142.0,0.020413041090405877,0.7851863056192098,0.14285714285714285,0.3458154606059629
corrected,TC_GB,N140_to_120,140,120,7,41.99999999999928,53.99999999999903,11.999999999999744,139.0,121.0,0.05652295413937954,0.6700523086599771,0.16666666666666666,0.3550591880697345
corrected,TC_GB,N120_to_100,120,100,13,55.99999999999898,80.00000000000131,24.00000000000233,118.0,100.0,0.03644360246676423,0.8044198138072869,0.0,0.21356372090972744
corrected,TC_GB,N100_to_80,100,80,19,78.000000000001,114.00000000000662,36.00000000000563,100.0,81.0,0.027071758237979946,0.5940503677934362,0.0,0.11888374340353203
corrected,TC_GB,N80_to_70,80,70,12,116.00000000000692,137.40000000000694,21.40000000000002,79.0,70.0,0.024319847039457096,0.803493984023146,0.0,0.30214555539929505
corrected,SC_GB,N190_to_175,190,175,9,4.000000000000003,19.99999999999975,15.999999999999748,190.0,175.0,0.017816674491508647,0.9204074016426596,0.0,0.35280425230797213
corrected,SC_GB,N175_to_160,175,160,191,19.99999999999975,400.000000000057,380.00000000005724,175.0,166.0,9.268699121631802e-05,3.755736214698213,0.14210526315789473,0.747889696843018
corrected,SC_GB,N190_to_160,190,160,199,4.000000000000003,400.000000000057,396.000000000057,190.0,166.0,0.00029168067730775063,3.816126197799754,0.30808080808080807,0.7345930798283475
corrected,SC_GB,N160_to_140,160,140,0,,,,,,,,,
corrected,SC_GB,N140_to_120,140,120,0,,,,,,,,,
corrected,SC_GB,N120_to_100,120,100,0,,,,,,,,,
corrected,SC_GB,N100_to_80,100,80,0,,,,,,,,,
corrected,SC_GB,N80_to_70,80,70,0,,,,,,,,,
corrected,GTC_GB,N190_to_175,190,175,7,6.000000000000004,17.999999999999794,11.99999999999979,189.0,176.0,0.018192574713381947,0.632756193245187,0.0,0.32477605333013715
corrected,GTC_GB,N175_to_160,175,160,8,19.99999999999975,33.99999999999945,13.999999999999702,174.0,160.0,0.02131554718833169,1.164442933760043,0.14285714285714285,0.5272273994653294
corrected,GTC_GB,N190_to_160,190,160,15,6.000000000000004,33.99999999999945,27.99999999999945,189.0,160.0,0.01709057210180703,0.916084629111085,0.07142857142857142,0.24536108764448766
