environment,source_variant,python,numpy,numba,llvmlite,blas,compile_result,initialization,accepted_steps,smoke_complete,runtime,maximum_resident_kbytes
anaconda/2022.05,pristine_archive,3.9.12,1.21.5,0.55.1,0.38.0,"{'libraries': ['mkl_rt', 'pthread'], 'library_dirs': ['/opt/apps/anaconda/2022.05/lib'], 'define_macros': [['SCIPY_MKL_H', None], ['HAVE_CBLAS', None]], 'include_dirs': ['/opt/apps/anaconda/2022.05/include']}",object_mode_fallback,True,10,True,0:41.39,390088
anaconda/2021.11,pristine_archive,3.9.7,1.20.3,0.54.1,0.37.0,"{'libraries': ['mkl_rt', 'pthread'], 'library_dirs': ['/opt/apps/anaconda/2021.11/lib'], 'define_macros': [['SCIPY_MKL_H', None], ['HAVE_CBLAS', None]], 'include_dirs': ['/opt/apps/anaconda/2021.11/include']}",object_mode_fallback,True,10,True,0:40.71,388944
qualified-modern,numba_compatibility_v1,3.13.5,2.1.3,0.61.0,0.44.0,"Build Dependencies:   blas:     detection method: pkgconfig     found: true     include directory: /dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/include     lib directory: /dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/lib     name: blas     openblas configuration: unknown     pc file directory: /dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/lib/pkgconfig     version: 3.9.0   lapack:     detection method: pkgconfig     found: true     include directory: /dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/include     lib directory: /dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/lib     name: lapack     openblas configuration: unknown     pc file directory: /dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/lib/pkgconfig     version: 3.9.0 Compilers:   c:     args: -march=nocona, -mtune=haswell, -ftree-vectorize, -fPIC, -fstack-protector-strong,       -fno-plt, -O2, -ffunction-sections, -pipe, -isystem, /dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/include,       -fdebug-prefix-map=/home/conda/feedstock_root/build_artifacts/numpy_1730588024163/work=/usr/local/src/conda/numpy-2.1.3,       -fdebug-prefix-map=/dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638=/usr/local/src/conda-prefix,       -DNDEBUG, -D_FORTIFY_SOURCE=2, -O2, -isystem, /dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/include     commands: /home/conda/feedstock_root/build_artifacts/numpy_1730588024163/_build_env/bin/x86_64-conda-linux-gnu-cc     linker: ld.bfd     linker args: -Wl,-O2, -Wl,--sort-common, -Wl,--as-needed, -Wl,-z,relro, -Wl,-z,now,       -Wl,--disable-new-dtags, -Wl,--gc-sections, -Wl,--allow-shlib-undefined, -Wl,-rpath,/dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/lib,       -Wl,-rpath-link,/dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/lib,       -L/dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/lib,       -march=nocona, -mtune=haswell, -ftree-vectorize, -fPIC, -fstack-protector-strong,       -fno-plt, -O2, -ffunction-sections, -pipe, -isystem, /dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/include,       -fdebug-prefix-map=/home/conda/feedstock_root/build_artifacts/numpy_1730588024163/work=/usr/local/src/conda/numpy-2.1.3,       -fdebug-prefix-map=/dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638=/usr/local/src/conda-prefix,       -DNDEBUG, -D_FORTIFY_SOURCE=2, -O2, -isystem, /dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/include     name: gcc     version: 13.3.0   c++:     args: -fvisibility-inlines-hidden, -fmessage-length=0, -march=nocona, -mtune=haswell,       -ftree-vectorize, -fPIC, -fstack-protector-strong, -fno-plt, -O2, -ffunction-sections,       -pipe, -isystem, /dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/include,       -fdebug-prefix-map=/home/conda/feedstock_root/build_artifacts/numpy_1730588024163/work=/usr/local/src/conda/numpy-2.1.3,       -fdebug-prefix-map=/dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638=/usr/local/src/conda-prefix,       -DNDEBUG, -D_FORTIFY_SOURCE=2, -O2, -isystem, /dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/include     commands: /home/conda/feedstock_root/build_artifacts/numpy_1730588024163/_build_env/bin/x86_64-conda-linux-gnu-c++     linker: ld.bfd     linker args: -Wl,-O2, -Wl,--sort-common, -Wl,--as-needed, -Wl,-z,relro, -Wl,-z,now,       -Wl,--disable-new-dtags, -Wl,--gc-sections, -Wl,--allow-shlib-undefined, -Wl,-rpath,/dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/lib,       -Wl,-rpath-link,/dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/lib,       -L/dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/lib,       -fvisibility-inlines-hidden, -fmessage-length=0, -march=nocona, -mtune=haswell,       -ftree-vectorize, -fPIC, -fstack-protector-strong, -fno-plt, -O2, -ffunction-sections,       -pipe, -isystem, /dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/include,       -fdebug-prefix-map=/home/conda/feedstock_root/build_artifacts/numpy_1730588024163/work=/usr/local/src/conda/numpy-2.1.3,       -fdebug-prefix-map=/dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638=/usr/local/src/conda-prefix,       -DNDEBUG, -D_FORTIFY_SOURCE=2, -O2, -isystem, /dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/include     name: gcc     version: 13.3.0   cython:     commands: cython     linker: cython     name: cython     version: 3.0.11 Machine Information:   build:     cpu: x86_64     endian: little     family: x86_64     system: linux   host:     cpu: x86_64     endian: little     family: x86_64     system: linux Python Information:   path: /dfs6b/pub/sdillon1/sw/pfgg-envs/4761ef957715-py3.13.5.build-55603638/bin/python   version: '3.13' SIMD Extensions:   baseline:   - SSE   - SSE2   - SSE3   found:   - SSSE3   - SSE41   - POPCNT   - SSE42   - AVX   - F16C   - FMA3   - AVX2   - AVX512F   - AVX512CD   - AVX512_SKX   not found:   - AVX512_KNL   - AVX512_KNM   - AVX512_CLX   - AVX512_CNL   - AVX512_ICL   - AVX512_SPR  ",nopython_failure_clockorcounterclock,False,0,False,0:33.15,451216
