time,step,grains_used,isoperimetric_q_mean,isoperimetric_q_median,isoperimetric_q_p90,boundary_edges_total,regime,run_dir
0.0,0,190,1.7920895484123613,1.7854416702856883,1.956505991785691,6086.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
0.8000000000000002,20,188,1.7963999664072208,1.7904506397748141,1.9620145314807358,6048.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
1.6000000000000008,40,185,1.7983939905928117,1.788480449997641,1.9875513975186982,6010.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
2.4000000000000012,60,181,1.7842270041129327,1.78866793841809,1.9496480528757179,5954.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
3.200000000000002,80,180,1.7913174638566058,1.7846764890093463,1.9390563597464563,5926.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
4.000000000000003,100,177,1.7863020035177686,1.776894427937363,1.9495093607110237,5870.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
4.800000000000003,120,177,1.789434710038378,1.7793720345677742,1.9630799534440124,5838.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
5.600000000000004,140,177,1.7880781620337445,1.7708173613246598,1.9545429522882682,5809.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
6.400000000000005,160,175,1.7830368727662105,1.7681838186278778,1.9418169042999558,5767.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
7.2000000000000055,180,174,1.7670632109314708,1.7577389692367453,1.9252759675604516,5723.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
8.000000000000005,200,173,1.7706353421697232,1.7574292307612105,1.9445669591473886,5707.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
8.799999999999988,220,172,1.7743692235217954,1.7782190134947138,1.9193891706760127,5693.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
9.599999999999971,240,167,1.7735546808519091,1.7724834714865818,1.929940057803755,5658.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
10.399999999999954,260,166,1.7768718616230772,1.7778797557648374,1.9543524038060534,5637.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
11.199999999999937,280,164,1.7781570424885313,1.7738960406353539,1.9492679057186513,5606.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
11.99999999999992,300,163,1.7636187923976134,1.754164264078064,1.9192902919225776,5547.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
12.799999999999903,320,161,1.7706826410692944,1.7685687043578984,1.9318117230464538,5523.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
13.599999999999886,340,160,1.7809017689004378,1.7743831592471713,1.9303054829294637,5510.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
14.399999999999869,360,160,1.776008125582112,1.7625438596438938,1.9301313003636997,5491.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
15.199999999999852,380,159,1.7698093676726872,1.7759306618208033,1.917262875124709,5458.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
15.999999999999835,400,158,1.7788534977040424,1.7680075512626279,1.9305758810084659,5443.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
16.79999999999982,420,156,1.7844418455148143,1.775049050787885,1.9625107753624786,5429.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
17.599999999999802,440,155,1.7775413548372172,1.768388256576615,1.9706130519896237,5399.0,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101
