campaign,regime,path,source_sha,starting_step,starting_time,starting_grains,ending_step,ending_time,ending_grains,completion_status,frame_count,movie_path
20260823T002904Z-457cf9e522,B0,results/jerky_area_loss_diagnostic_20260822/20260823T002904Z-457cf9e522/B0-T900-s5101,124f6398cc0ce7bb11b02184f056a73a57bc6152-dirty,0,0.0,200,548,21.91999999999971,150,target_reached,29,results/jerky_area_loss_diagnostic_20260822/20260823T002904Z-457cf9e522/B0-T900-s5101/diagnostic.gif
20260823T002904Z-457cf9e522,C_GB,results/jerky_area_loss_diagnostic_20260822/20260823T002904Z-457cf9e522/C_GB-T900-s5101,124f6398cc0ce7bb11b02184f056a73a57bc6152-dirty,0,0.0,200,655,26.19999999999962,150,target_reached,34,results/jerky_area_loss_diagnostic_20260822/20260823T002904Z-457cf9e522/C_GB-T900-s5101/diagnostic.gif
20260823T002904Z-457cf9e522,C_GBTJ,results/jerky_area_loss_diagnostic_20260822/20260823T002904Z-457cf9e522/C_GBTJ-T900-s5101,124f6398cc0ce7bb11b02184f056a73a57bc6152-dirty,0,0.0,200,590,23.599999999999675,150,target_reached,31,results/jerky_area_loss_diagnostic_20260822/20260823T002904Z-457cf9e522/C_GBTJ-T900-s5101/diagnostic.gif
20260823T002904Z-457cf9e522,G,results/jerky_area_loss_diagnostic_20260822/20260823T002904Z-457cf9e522/G-T900-s5101,124f6398cc0ce7bb11b02184f056a73a57bc6152-dirty,0,0.0,200,800,31.999999999999496,153,censored_step_ceiling,41,results/jerky_area_loss_diagnostic_20260822/20260823T002904Z-457cf9e522/G-T900-s5101/diagnostic.gif
20260823T002904Z-457cf9e522,GTSC_GB,results/jerky_area_loss_diagnostic_20260822/20260823T002904Z-457cf9e522/GTSC_GB-T900-s5101,124f6398cc0ce7bb11b02184f056a73a57bc6152-dirty,0,0.0,200,800,31.999999999999496,167,censored_step_ceiling,41,results/jerky_area_loss_diagnostic_20260822/20260823T002904Z-457cf9e522/GTSC_GB-T900-s5101/diagnostic.gif
20260823T002904Z-457cf9e522,GTSC_GBTJ,results/jerky_area_loss_diagnostic_20260822/20260823T002904Z-457cf9e522/GTSC_GBTJ-T900-s5101,124f6398cc0ce7bb11b02184f056a73a57bc6152-dirty,0,0.0,200,800,31.999999999999496,164,censored_step_ceiling,41,results/jerky_area_loss_diagnostic_20260822/20260823T002904Z-457cf9e522/GTSC_GBTJ-T900-s5101/diagnostic.gif
20260823T012141Z-b907865386,C_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/C_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,3149,125.96000000000849,70,target_reached,64,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/C_GB-T900-s5101/final.gif
20260823T012141Z-b907865386,C_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/C_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,2819,112.76000000000643,70,target_reached,58,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/C_GBTJ-T900-s5101/final.gif
20260823T012141Z-b907865386,GC_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GC_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,4072,162.88000000000187,70,target_reached,83,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GC_GB-T900-s5101/final.gif
20260823T012141Z-b907865386,GC_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GC_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,3897,155.88000000000326,70,target_reached,79,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GC_GBTJ-T900-s5101/final.gif
20260823T012141Z-b907865386,GSC_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GSC_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,10000,400.000000000057,83,censored_step_ceiling,201,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GSC_GB-T900-s5101/final.gif
20260823T012141Z-b907865386,GSC_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GSC_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,10000,400.000000000057,85,censored_step_ceiling,201,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GSC_GBTJ-T900-s5101/final.gif
20260823T012141Z-b907865386,GTC_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GTC_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,4632,185.27999999999741,70,target_reached,94,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GTC_GB-T900-s5101/final.gif
20260823T012141Z-b907865386,GTC_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GTC_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,3990,159.60000000000252,70,target_reached,81,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GTC_GBTJ-T900-s5101/final.gif
20260823T012141Z-b907865386,GTSC_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GTSC_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,10000,400.000000000057,90,censored_step_ceiling,201,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GTSC_GB-T900-s5101/final.gif
20260823T012141Z-b907865386,GTSC_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GTSC_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,10000,400.000000000057,91,censored_step_ceiling,201,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GTSC_GBTJ-T900-s5101/final.gif
20260823T012141Z-b907865386,SC_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/SC_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,10000,400.000000000057,166,censored_step_ceiling,201,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/SC_GB-T900-s5101/final.gif
20260823T012141Z-b907865386,SC_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/SC_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,10000,400.000000000057,165,censored_step_ceiling,201,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/SC_GBTJ-T900-s5101/final.gif
20260823T012141Z-b907865386,TC_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/TC_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,3435,137.40000000000694,70,target_reached,70,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/TC_GB-T900-s5101/final.gif
20260823T012141Z-b907865386,TC_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/TC_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,2789,111.56000000000624,70,target_reached,57,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/TC_GBTJ-T900-s5101/final.gif
20260823T012141Z-b907865386,TSC_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/TSC_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,10000,400.000000000057,166,censored_step_ceiling,201,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/TSC_GB-T900-s5101/final.gif
20260823T012141Z-b907865386,TSC_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/TSC_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,0.0,200,10000,400.000000000057,166,censored_step_ceiling,201,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/TSC_GBTJ-T900-s5101/final.gif
20260823T012450Z-364b2906f9,B0,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,548,21.91999999999971,150,2700,108.00000000000568,69,target_reached,73,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/B0-T900-s5101/final.gif
20260823T012450Z-364b2906f9,G,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/G-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,800,31.999999999999496,153,3931,157.240000000003,70,target_reached,104,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/G-T900-s5101/final.gif
20260823T012450Z-364b2906f9,GS,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/GS-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,800,31.999999999999496,163,10000,400.000000000057,88,censored_step_ceiling,225,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/GS-T900-s5101/final.gif
20260823T012450Z-364b2906f9,GT,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/GT-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,800,31.999999999999496,158,4246,169.8400000000005,70,target_reached,110,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/GT-T900-s5101/final.gif
20260823T012450Z-364b2906f9,GTS,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/GTS-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,800,31.999999999999496,168,10000,400.000000000057,85,censored_step_ceiling,225,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/GTS-T900-s5101/final.gif
20260823T012450Z-364b2906f9,QIU,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/QIU-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,800,31.999999999999496,163,10000,400.000000000057,135,censored_step_ceiling,225,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/QIU-T900-s5101/final.gif
20260823T012450Z-364b2906f9,S,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/S-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,800,31.999999999999496,169,10000,400.000000000057,163,censored_step_ceiling,225,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/S-T900-s5101/final.gif
20260823T012450Z-364b2906f9,T,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/T-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,745,29.799999999999542,150,3084,123.36000000000809,70,target_reached,87,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/T-T900-s5101/final.gif
20260823T012450Z-364b2906f9,TS,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/TS-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,800,31.999999999999496,174,10000,400.000000000057,163,censored_step_ceiling,225,results/jerky_long_non_c_20260822/20260823T012450Z-364b2906f9/TS-T900-s5101/final.gif
20260823T012535Z-793b9644d0,LEGACY_C,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_C-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,3500,140.00000000000642,159,10000,400.000000000057,117,censored_step_ceiling,131,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_C-T900-s5101/final.gif
20260823T012535Z-793b9644d0,LEGACY_GC,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_GC-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,3500,140.00000000000642,157,10000,400.000000000057,117,censored_step_ceiling,131,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_GC-T900-s5101/final.gif
20260823T012535Z-793b9644d0,LEGACY_GSC,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_GSC-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,3500,140.00000000000642,159,10000,400.000000000057,116,censored_step_ceiling,131,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_GSC-T900-s5101/final.gif
20260823T012535Z-793b9644d0,LEGACY_GTC,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_GTC-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,3500,140.00000000000642,158,10000,400.000000000057,118,censored_step_ceiling,131,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_GTC-T900-s5101/final.gif
20260823T012535Z-793b9644d0,LEGACY_GTSC,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_GTSC-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,3500,140.00000000000642,162,10000,400.000000000057,115,censored_step_ceiling,131,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_GTSC-T900-s5101/final.gif
20260823T012535Z-793b9644d0,LEGACY_SC,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_SC-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,3500,140.00000000000642,160,10000,400.000000000057,117,censored_step_ceiling,131,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_SC-T900-s5101/final.gif
20260823T012535Z-793b9644d0,LEGACY_TC,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_TC-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,3500,140.00000000000642,160,10000,400.000000000057,117,censored_step_ceiling,131,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_TC-T900-s5101/final.gif
20260823T012535Z-793b9644d0,LEGACY_TSC,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_TSC-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,3500,140.00000000000642,162,10000,400.000000000057,115,censored_step_ceiling,131,results/jerky_long_legacy_20260822/20260823T012535Z-793b9644d0/LEGACY_TSC-T900-s5101/final.gif
20260823T102804Z-2ab688a139,C_GBTJ_FAST,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/C_GBTJ_FAST-T900-s5101,361fcccfddcbe9829288775425066074b3607bce-dirty,0,0.0,200,877,35.07999999999943,130,target_reached,45,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/C_GBTJ_FAST-T900-s5101/final.gif
20260823T102804Z-2ab688a139,C_GBTJ_SLOW,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/C_GBTJ_SLOW-T900-s5101,361fcccfddcbe9829288775425066074b3607bce-dirty,0,0.0,200,1006,40.23999999999932,130,target_reached,52,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/C_GBTJ_SLOW-T900-s5101/final.gif
20260823T102804Z-2ab688a139,C_GB_FAST,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/C_GB_FAST-T900-s5101,361fcccfddcbe9829288775425066074b3607bce-dirty,0,0.0,200,874,34.95999999999943,130,target_reached,45,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/C_GB_FAST-T900-s5101/final.gif
20260823T102804Z-2ab688a139,C_GB_SLOW,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/C_GB_SLOW-T900-s5101,361fcccfddcbe9829288775425066074b3607bce-dirty,0,0.0,200,1400,55.999999999998984,134,censored_step_ceiling,71,results/jerky_area_loss_discriminating_20260822/20260823T102804Z-2ab688a139/C_GB_SLOW-T900-s5101/final.gif
