regime,temperature,n,n_ci_low,n_ci_high,K,K_ci,Q_app,Q_app_ci,jerkiness_CV,Fano,burstiness,reverse_motion_fraction,velocity_curvature_R2,pinned_fraction,number_of_events,number_of_realizations,Git_SHA
B0,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
B1,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
C1,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
C2,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
C3,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
C4,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
C5,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
E0,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
E1,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
E2,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
G1,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
G2,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
G3,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
J1,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
J2,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
J3,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
P1,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
P2,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
P3,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
P4,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
P5,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
Q0,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
Q1,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
S1,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
S2,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
S3,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
SC1,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
SC2,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
SC3,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
SC4,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
T1,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
T2,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
T3,900.0,2.0,2.0,2.0,-7.40809895621515e-14,,,,0.0,,-1.0,,,,0,1,99b709faa7e4208c1f4a0d9afca9a792519d60f5
