regime,temperature,n,n_ci_low,n_ci_high,K,K_ci,Q_app,Q_app_ci,jerkiness_CV,Fano,burstiness,reverse_motion_fraction,velocity_curvature_R2,pinned_fraction,number_of_events,number_of_realizations,Git_SHA
B0,900.0,1.6307584667169317,1.2538033433088915,1.993402609146306,0.36995485245344195,0.013460635677897487,,,1.6245862733458984,,-0.09330722794483708,0.2830442061238814,0.1713108116336232,0.0,0,5,9e8796e6e9e13bc4bb418662cfc33601adeaa502
B1,900.0,1.6344906106015986,1.284569985912796,2.009277236468742,1.9754390303674143,0.07152184187855348,,,1.5346837335368653,,-0.10773929203087755,0.2815677124067216,0.16068454650410174,0.0,0,5,9e8796e6e9e13bc4bb418662cfc33601adeaa502
C1,900.0,1.0000000000000002,1.0000000000000002,1.0000000000001503,0.34881657900493074,0.0205952712846747,,,0.9937301052406827,1059.4275642692571,-0.2956466221282982,0.7043323400516897,0.00015966489274272513,0.24875834349210746,633783,5,9e8796e6e9e13bc4bb418662cfc33601adeaa502
C2,900.0,1.0000000000000002,1.0000000000000002,1.0000000000018925,0.19819013986409215,0.015093322580866209,,,1.0106657515426019,1104.9104257295521,-0.2853021626668,0.7761848963336734,0.0008200517538046244,0.511493380964005,1685980,5,9e8796e6e9e13bc4bb418662cfc33601adeaa502
C3,900.0,1.0000000000000002,1.0000000000000002,1.000000000000344,0.31175015087392405,0.01920049664085474,,,1.0067051847323472,794.0313026411804,-0.2785397430769869,0.7280275051860482,0.0007773525744008061,0.3659108194282966,515137,5,9e8796e6e9e13bc4bb418662cfc33601adeaa502
C4,900.0,1.0000000000000002,1.0000000000000002,1.000000000000021,0.08178498909401674,0.001967162198761571,,,1.142749574749344,108.67377442564012,-0.1743181659984485,0.7923062430489471,0.0002585319986614732,0.6894346046961325,551555,5,9e8796e6e9e13bc4bb418662cfc33601adeaa502
C5,900.0,1.0000000000000002,1.0000000000000002,1.2403503162297713,0.07225681501591519,0.00397772403317076,,,1.177667259823671,104.0242204196843,-0.1537474610756289,0.8023998920088473,0.00019038633599781913,0.7168261877159541,834308,5,9e8796e6e9e13bc4bb418662cfc33601adeaa502
E0,900.0,1.0000000000000009,1.0000000000000002,1.0000000000000975,0.5931417431071435,0.03775683071812391,,,0.7931595520995344,2488.4921833944,-0.6469981966196761,0.6104808423342032,0.002397744235825848,0.0,858011,5,9e8796e6e9e13bc4bb418662cfc33601adeaa502
E1,900.0,1.0000000000000002,1.0000000000000002,1.0000000000000873,0.3707260158441645,0.017448601236398492,,,0.8220503925114684,16587.987225174766,-0.6482431088472616,0.6664552937073134,6.851304455083882e-06,0.0,14879618,5,990c3a0d96e29290e13612387c32576f16cf993e
E2,900.0,1.0000000000000002,1.0000000000000002,1.0000000000072435,0.5316991832929917,0.018559238734734695,,,0.7995985211676588,2307.375175011295,-0.6432449114276252,0.6194370198958389,0.001149835480670941,0.0,924246,5,9e8796e6e9e13bc4bb418662cfc33601adeaa502
