step,time,grain_count,G_population,interfacial_energy,elastic_energy,total_energy,stress_l2,stress_linf,mechanical_equilibrium_residual,source_work_error,clipped_fraction,largest_one_step_population_loss,largest_100_step_population_loss,compactness_mean,aspect_ratio_mean,disconnected_grain_count
1,0.04,799,13.58494344340272,18402.097305596948,2.630874919634809e-05,18402.097331905698,0.012260845631172464,0.0024256406446013725,1.4018635494661571e-13,-8.32356450968251e-09,0.27288323585033636,1,0,1.3393541356865133,1.2766935783069135,0
2,0.08,799,13.58494344340272,18396.737989966525,6.23972032465544e-05,18396.73805236373,0.018882433639273586,0.0019208572865832504,1.6159971003019977e-13,-7.119565908472519e-09,0.2729924502402196,0,0,1.339338112673134,1.2772613284652377,0
3,0.12,798,13.593452647771942,18391.24931432969,0.00013874106018344214,18391.249453070748,0.02815648733539841,0.0023202900901620597,7.678082199855504e-14,-1.44583579260129e-08,0.27275230675904344,1,1,1.3396621510608664,1.2763080197448062,0
4,0.16,798,13.593452647771942,18386.14791849768,0.00022565951934781577,18386.1481441572,0.03590888984489164,0.002490154338661354,2.657708813073599e-13,-1.6661350523357907e-08,0.2726826425697682,0,1,1.339582612520139,1.2762588395135943,0
5,0.2,798,13.593452647771942,18381.227567909365,0.00033771066715938017,18381.22790562003,0.043928600931068,0.0026311642000946475,4.239076973084598e-14,-2.072242916532094e-08,0.27279694098300455,0,1,1.3405246509920143,1.2765727583106061,0
6,0.24000000000000002,798,13.593452647771942,18376.366821589017,0.0004744354042195379,18376.367296024422,0.052067166146026043,0.0027421755419336745,3.9770602533538585e-14,-2.2163282875631296e-08,0.27261113949923355,0,1,1.3401153367317211,1.2765329675823252,0
7,0.28,798,13.593452647771942,18371.506692268576,0.0006367525188762192,18371.507329021097,0.06031998653093215,0.002920192889704198,6.487117375169733e-14,-2.3976749552180295e-08,0.27259443792368315,0,1,1.3398882936229213,1.2774882212660976,0
8,0.32,798,13.593452647771942,18366.635146515768,0.0008256257651633476,18366.635972141532,0.0686859613933747,0.003372380309161976,4.626377528251817e-13,-2.639885350445327e-08,0.2724982432605085,0,1,1.3386879767094544,1.27752935126632,0
9,0.36,797,13.601977861935639,18361.081842263106,0.0014738199693461193,18361.083316083073,0.09176999179815751,0.011198897098557582,8.479305299029987e-14,-3.827695422816205e-08,0.2727298134662067,1,2,1.3388089220103396,1.2780683472824652,0
10,0.39999999999999997,797,13.601977861935639,18355.983180316856,0.001680629831426812,18355.984860946686,0.09799737311744447,0.010780289591534972,6.199049774927332e-14,-2.8091248550118474e-08,0.27234854990553714,0,2,1.3382429975338412,1.2785341427011807,0
11,0.43999999999999995,797,13.601977861935639,18350.981093805087,0.0019156795746079348,18350.983009484662,0.10462604880014313,0.010532948103390605,9.34267180507163e-14,-3.166203752164639e-08,0.27253228312490263,0,2,1.3376626971566894,1.2782804129843899,0
12,0.4799999999999999,797,13.601977861935639,18345.987028507276,0.002176214030682512,18345.989204721307,0.11151394294939485,0.010384889791865314,2.792799052259686e-14,-3.5095224304524785e-08,0.2723473953339725,0,2,1.337620038747051,1.2780214024993999,0
13,0.5199999999999999,797,13.601977861935639,18340.97231880546,0.0024622001460169424,18340.974781005607,0.11861511400113699,0.010299228489944745,1.0196970543649055e-13,-3.830920235388131e-08,0.27259290034435646,0,2,1.3369459219258493,1.2786149692332363,0
14,0.5599999999999999,797,13.601977861935639,18335.908159893905,0.0027744452919767106,18335.910934339197,0.1259118033338185,0.010239964091578043,8.145123590092343e-14,-4.093322043043643e-08,0.272320054983477,0,2,1.3370980390707476,1.279023970629287,0
15,0.6,797,13.601977861935639,18330.78854000192,0.0031122120612544378,18330.79165221398,0.13335613019178788,0.010197264644758737,2.8627501036125023e-13,-4.2787117672483596e-08,0.2721848561506152,0,2,1.3366408166946506,1.2787636459592762,0
16,0.64,797,13.601977861935639,18325.610472356377,0.0034756147565630736,18325.613947971135,0.140927005149336,0.010165671197008019,2.389009783496914e-13,-4.517725711724544e-08,0.2721063422471434,0,2,1.3366440008240434,1.2773601592837414,0
17,0.68,797,13.601977861935639,18320.366178420223,0.003866049207487512,18320.37004446943,0.14863191816314295,0.01013958966178912,9.732053697613699e-14,-4.869239378911018e-08,0.2722513298244352,0,2,1.3369076610782908,1.2771094384023793,0
18,0.7200000000000001,797,13.601977861935639,18315.046231078686,0.0042831886618748625,18315.050514267346,0.15644510433853112,0.01011891003815106,5.883861342861804e-14,-5.1781148932312105e-08,0.27227091601619485,0,2,1.3368196882235646,1.2776710988243756,0
19,0.7600000000000001,797,13.601977861935639,18309.644241020538,0.004725629599656973,18309.648966650137,0.16432671736594917,0.01010289807011247,7.603669047217205e-14,-5.398375810771166e-08,0.27238206397045306,0,2,1.3364398415195824,1.2762817004953066,0
20,0.8000000000000002,797,13.601977861935639,18304.168741972346,0.0051959794033940975,18304.17393795175,0.17231060895755687,0.010091163212051061,3.275153072653331e-14,-5.763773746806202e-08,0.27229731620630787,0,2,1.3367314259047385,1.2781773202124926,0
21,0.8400000000000002,797,13.601977861935639,18298.61148568743,0.005693617419618151,18298.61717930485,0.18037337181955124,0.010090440759620952,1.0076095461776621e-13,-6.006865857792389e-08,0.2722587403640086,0,2,1.336787702574486,1.2775763987490332,0
22,0.8800000000000002,797,13.601977861935639,18292.964809807065,0.006219571032759396,18292.9710293781,0.18852047226876453,0.010098543056726035,3.8433604823675074e-14,-6.102924346744129e-08,0.27213724431647773,0,2,1.337581071302351,1.2781952616231012,0
23,0.9200000000000003,795,13.619076520932646,18286.224600904854,0.007198712309367217,18286.231799617162,0.20281766119132658,0.010894182472853712,6.099484380267753e-14,-1.0947594590517314e-07,0.2719197558761303,2,4,1.337602581589449,1.2785010347056514,0
24,0.9600000000000003,795,13.619076520932646,18279.96549914906,0.007725658583054842,18279.973224807643,0.21010974139376548,0.010430704817082291,4.072250160588139e-14,-4.211143255232388e-08,0.27187227471657055,0,4,1.3381549650961355,1.2809295425090501,0
25,1.0000000000000002,795,13.619076520932646,18273.974898918284,0.008294007490298082,18273.983192925774,0.21770114676357485,0.010158765407618113,1.0519343128617833e-13,-4.974098445804931e-08,0.2719049790771545,0,4,1.3385789661925331,1.2811140313108123,0
26,1.0400000000000003,794,13.627650066963382,18267.6539521816,0.008937914288617874,18267.66289009589,0.22599385983603748,0.010148767969981633,1.7179418171737104e-13,-5.727877095686954e-08,0.27186998635688936,1,5,1.3378477788953167,1.2799682866670867,0
27,1.0800000000000003,794,13.627650066963382,18261.4980955467,0.009567745181758068,18261.507663291883,0.2338209559198529,0.010224561105748268,6.691293456726957e-14,-5.215419972900027e-08,0.2718705355535013,0,5,1.3371304867654343,1.2794734552239713,0
28,1.1200000000000003,793,13.636239825185951,18254.14417875987,0.010790120205869337,18254.154968880077,0.24830870096470076,0.015770138068513503,4.697799134411096e-14,-8.839407913832989e-08,0.27171433374156523,1,6,1.3370200891024142,1.2785054644069402,0
29,1.1600000000000004,791,13.653468183067735,18246.6185294795,0.011883008315101522,18246.630412487815,0.26058060638994984,0.01604605142780927,6.613801436167026e-14,-1.1173906907082157e-07,0.27166493856913526,2,8,1.3370109744685397,1.277358824739257,0
30,1.2000000000000004,790,13.662106885724546,18239.51277242566,0.012609239254717066,18239.525381664913,0.2684252655651393,0.016227483783687255,7.929637866926217e-14,-6.846314933842048e-08,0.27160894270852104,1,9,1.3369053900408532,1.2774954579876574,0
31,1.2400000000000004,790,13.662106885724546,18233.662237080847,0.013284699121678534,18233.67552177997,0.2755210730177993,0.016401790646022166,2.0183536545980576e-13,-7.011139573705368e-08,0.2714143246782895,0,9,1.3365374881419771,1.2770843672856795,0
32,1.2800000000000005,790,13.662106885724546,18228.011603515013,0.013981664254306051,18228.025585179268,0.2826561092923851,0.01658851794056055,7.41703219547284e-14,-6.920936843979666e-08,0.2714693089609984,0,9,1.3368501497470742,1.2780649703130327,0
33,1.3200000000000005,789,13.670762006570964,18221.786598002553,0.01517806701697287,18221.80177606957,0.2945012468756347,0.016873208118261127,6.378865739037873e-14,-1.0114400255593729e-07,0.27149580437786636,1,10,1.3376169266257316,1.2785801775535763,0
34,1.3600000000000005,789,13.670762006570964,18216.089096313386,0.015861915642435994,18216.10495822903,0.3010625180195658,0.01701006092441775,6.659208512165248e-14,-6.656702900833741e-08,0.27125549866589743,0,10,1.3374646683709632,1.2791902221991858,0
35,1.4000000000000006,788,13.679433597678651,18209.92462141417,0.0166068448546096,18209.941228259027,0.3080508813800145,0.017137566116826625,5.789139498409853e-14,-5.157853287052552e-08,0.27143830128205126,1,11,1.3383861061654232,1.2780853240996286,0
36,1.4400000000000006,787,13.688121711350766,18203.67798938013,0.01748638585025877,18203.69547576598,0.3161031855626741,0.017215329927279532,7.671190754235809e-14,-8.563079271790147e-08,0.27099054618902013,1,12,1.3388838350388343,1.2778707805709781,0
37,1.4800000000000006,787,13.688121711350766,18197.857738002658,0.018249627415010978,18197.875987630072,0.322928100134685,0.017256316878081733,1.5148637634509546e-13,-6.25328845121247e-08,0.27119955112019556,0,12,1.3389049296878057,1.276423574328564,0
38,1.5200000000000007,787,13.688121711350766,18192.14805403134,0.01903751243137593,18192.16709154377,0.3298252746578093,0.017284892415312017,6.997726656088632e-14,-6.187405562050902e-08,0.27093981119595933,0,12,1.3381421919387877,1.2786838759405905,0
39,1.5600000000000007,786,13.696826400123296,18186.184352804135,0.019935359644168583,18186.20428816378,0.3375132290284278,0.017305513844426884,5.898175287180566e-14,-1.0461695441085599e-07,0.2711195199480505,1,13,1.3383961272017708,1.2793121099796145,0
40,1.6000000000000008,786,13.696826400123296,18180.090021669752,0.020761026607391573,18180.11078269636,0.3444317800437113,0.017320309828886316,9.287817522821716e-14,-5.225525885046642e-08,0.2708648282333316,0,13,1.3390897848875636,1.278429476180177,0
41,1.6400000000000008,786,13.696826400123296,18174.181154915914,0.02161923275994736,18174.202774148675,0.3514786651465027,0.01733142055652365,8.173593153246832e-14,-5.811266710897822e-08,0.2708460329173217,0,13,1.3398531635653375,1.2796367775940591,0
42,1.6800000000000008,784,13.714285714285715,18167.41514030172,0.022852744209999797,18167.43799304593,0.36136674437825156,0.017339296960583745,4.473176903599534e-14,-1.0492907982773136e-07,0.27073899528727563,2,15,1.3394206591105318,1.2813031066046463,0
43,1.7200000000000009,783,13.723040445923774,18160.303216922715,0.023759015010773682,18160.326975937725,0.3684623930260081,0.01734290084490257,2.579809601575063e-14,-8.19060906166822e-08,0.27062788365095286,1,16,1.33890695997964,1.2796872081568689,0
44,1.760000000000001,782,13.73181196516131,18153.278449835932,0.025026525527030816,18153.30347636146,0.3781632571161544,0.017344475467230818,8.407580407207261e-14,-6.714644853957237e-08,0.27054433097249253,1,17,1.3386205876570911,1.277909554620023,0
45,1.800000000000001,781,13.740600325718654,18147.065819930638,0.025979424094779206,18147.091799354734,0.3852953925677269,0.017345811257821614,9.054866098313544e-14,-5.7511867682276396e-08,0.2705019686224459,1,18,1.3391963366249333,1.2777334671929217,0
46,1.840000000000001,780,13.749405581557111,18140.15645013229,0.0271312896074411,18140.183581421898,0.39374432880430044,0.017347585434563884,1.7744817909754026e-13,-7.981674394509641e-08,0.27041901840983357,1,19,1.3398383996477845,1.2781190761598713,0
47,1.880000000000001,779,13.758227786880358,18133.37445355067,0.028056277885378143,18133.402509828557,0.4004000312572901,0.017349464302142324,5.07986202540592e-14,-7.000728682686735e-08,0.2703489422524863,1,20,1.3397507555344055,1.2755848448800844,0
48,1.920000000000001,779,13.758227786880358,18127.366268389633,0.029011702685129672,18127.395280092318,0.40716053118604445,0.017354572150781664,8.349775786594326e-14,-7.09903374410863e-08,0.2704788675835759,0,20,1.3398399593283667,1.274727140404083,0
49,1.960000000000001,778,13.767066996135835,18120.52583997589,0.03022909787515154,18120.556069073766,0.4156154299898364,0.017358584876930653,7.049754891324656e-14,-7.444326821518313e-08,0.2703711141457145,1,21,1.339984941736697,1.2759539268950415,0
50,2.000000000000001,778,13.767066996135835,18114.854651573485,0.031200196807224523,18114.885851770294,0.42223841779585364,0.01736271174721638,1.6920356710858848e-13,-6.332938148401798e-08,0.2701351921415801,0,21,1.3395885000214387,1.276896868559957,0
51,2.040000000000001,777,13.775923264016164,18108.578249311384,0.03229607439618512,18108.61054538578,0.4295897999144781,0.017366636205834868,8.442732239770702e-14,-7.177523837472236e-08,0.2700584175043592,1,22,1.339013679070034,1.277445265233532,0
52,2.080000000000001,777,13.775923264016164,18102.97173441344,0.033311734809368464,18103.00504614825,0.4362924822763492,0.017823485602230495,6.297759225150706e-14,-6.112412321191037e-08,0.27011789856062496,0,22,1.3391309300073015,1.2754335950685987,0
53,2.120000000000001,776,13.784796645460572,18096.223502074517,0.0343794505208639,18096.257881525038,0.4432294257113685,0.018511100793172724,2.508520594496821e-13,-6.294792153629589e-08,0.2701274379388089,1,23,1.3399972724630105,1.2753330992040715,0
54,2.160000000000001,776,13.784796645460572,18090.77237643475,0.03543554290625696,18090.807811977655,0.44998566640967885,0.01916145305573512,9.81465592038034e-14,-6.011395626876088e-08,0.2700641602881585,0,23,1.3402021007373488,1.275307335754179,0
55,2.200000000000001,776,13.784796645460572,18085.4627532694,0.036518170157813314,18085.499271439556,0.4568079513716401,0.019777893642946277,4.956314967529922e-13,-6.125484937856418e-08,0.2698687744238779,0,23,1.3404466064501819,1.2760252126736964,0
56,2.240000000000001,776,13.784796645460572,18080.169297077777,0.03762288317472414,18080.20691996095,0.463665951978946,0.020327996702102873,7.233028594311059e-14,-6.339206252395542e-08,0.2700589365688143,0,23,1.339969016736318,1.2763350784257805,0
57,2.280000000000001,776,13.784796645460572,18074.865117598067,0.03875318907101783,18074.903870787137,0.47057939770205265,0.020868668996647497,6.215121551757127e-14,-6.510766719638669e-08,0.270014032237961,0,23,1.339936992240327,1.2774058944903426,0
58,2.320000000000001,776,13.784796645460572,18069.539891859356,0.039909549111238125,18069.57980140847,0.4775486390636328,0.021363503727682892,1.7105590198945165e-13,-6.71979001191144e-08,0.27010780186331157,0,23,1.3389485671980363,1.275880478484839,0
59,2.360000000000001,775,13.793687195656313,18063.154720948845,0.04193152051618758,18063.19665246936,0.4894964261274159,0.030471144062012102,7.661478492596359e-14,-1.0351872288191788e-07,0.2700512717402232,1,24,1.3389665572073681,1.2752821560645846,0
60,2.4000000000000012,775,13.793687195656313,18057.641649830875,0.043063241807794965,18057.684713072682,0.496058170743009,0.03066703167970109,1.567900191902016e-13,-5.861222036581196e-08,0.2701196116442378,0,24,1.338591259316036,1.276309817595295,0
