step,time,boundary_count,total_length,mean_abs_curvature,rms_velocity,rms_resolved_shear
0,0.0,3074,24267.0,0.0,0.0,0.0
200,8.000000000000005,2864,22752.0,0.14332546468191965,0.2079406130509367,0.00210875579855447
400,15.999999999999837,2631,21372.0,0.12674164370137017,0.20366106160855124,0.0029847481389500136
600,23.999999999999662,2443,20142.0,0.12289988447658586,0.23871502770329212,0.003620548653211568
800,31.999999999999496,2284,19155.0,0.11398735186433055,0.1510426098527259,0.00407895353993177
1000,39.999999999999325,2163,18252.0,0.11294006225309022,0.1963292324193142,0.0042968631177127395
1200,47.999999999999154,2040,17394.0,0.11019638803727701,0.1899442540772152,0.004695853318985157
1400,55.99999999999898,1924,16638.0,0.10219585676911237,0.1571725951784764,0.005028758593785369
1600,63.99999999999881,1837,16084.0,0.09977845524003605,0.1340819912364972,0.005272484061949478
1800,72.00000000000006,1763,15598.0,0.0967845585245692,0.1289819351449475,0.005517836273120933
2000,80.00000000000131,1696,15128.0,0.0946727717478884,0.13038861207955857,0.0057549641880837174
2200,88.00000000000256,1616,14568.0,0.0889273173714069,0.14278559454613984,0.005939860613151415
2400,96.0000000000038,1561,14130.0,0.09194670980321641,0.14788676908876852,0.006147009074704834
2600,104.00000000000506,1509,13733.0,0.09127601447967248,0.13312772100370454,0.006423833752781409
2800,112.00000000000632,1431,13253.0,0.08346308223267287,0.10006426176479574,0.006421846756819834
3000,120.00000000000756,1400,12956.0,0.0845889378726127,0.11315020291092219,0.006701559758355103
3200,128.0000000000088,1349,12618.0,0.08341539771605842,0.13790328621752082,0.006841180508051985
3400,136.00000000000722,1323,12373.0,0.07902254483773652,0.10249983612738935,0.0068823811186094225
3600,144.00000000000563,1292,12133.0,0.08131061839667642,0.15233318161430506,0.006964658936083934
3800,152.00000000000404,1242,11849.0,0.07872785081987495,0.10813200609914653,0.0071130148426220025
4000,160.00000000000244,1214,11615.0,0.07962074716979801,0.09696893738686425,0.007109606943853314
4200,168.00000000000085,1191,11366.0,0.07751374476211385,0.09451090454547424,0.007299264936133267
4400,175.99999999999926,1160,11138.0,0.08057975122417406,0.14385385510727233,0.007233580369754872
4600,183.99999999999767,1138,10959.0,0.07855412183521414,0.10594464392907511,0.007518129967963456
4800,191.99999999999608,1122,10700.0,0.07773533414785934,0.1099893002698922,0.00756311861858755
5000,199.9999999999945,1088,10485.0,0.07430623262159755,0.10319254376757643,0.007628084596642859
5200,207.9999999999929,1058,10324.0,0.07154449966599342,0.09287989155109928,0.007624909239928803
5400,215.9999999999913,1037,10127.0,0.0706595163535202,0.09002647213334339,0.0077477997970767255
5600,223.9999999999897,1012,9941.0,0.06827482065745225,0.08876891511056496,0.007846760316683667
5800,231.9999999999881,995,9761.0,0.0709910534558088,0.12775853501629206,0.008003836733914643
6000,239.99999999998653,974,9646.0,0.0635076616266418,0.06693980812805565,0.008129121632823488
6200,247.9999999999849,965,9527.0,0.06397063389130658,0.4776751248627538,0.007981521177969375
6400,255.99999999998332,948,9398.0,0.0622608231923812,0.06893282357603844,0.008045956887715547
6600,263.99999999998744,938,9312.0,0.062415851906072566,0.07040599737081753,0.008101304465110405
6800,271.9999999999916,930,9242.0,0.06448542991839229,0.0788257988367749,0.00809950708542265
7000,279.9999999999956,930,9142.0,0.062392526991596524,0.07081168634316869,0.007918356757465293
7200,287.9999999999997,920,9060.0,0.06557701082823868,0.07054506206348875,0.00787863099330898
7400,296.0000000000038,907,8990.0,0.0636385450916542,0.06342821218764162,0.007801911412752601
7600,304.0000000000079,884,8895.0,0.06117211084199583,0.056587386473185196,0.00801176682609897
7800,312.000000000012,869,8830.0,0.06195165338169169,0.060850398420584165,0.008189891885764576
8000,320.0000000000161,863,8748.0,0.06268931032002922,0.061706810426667,0.007917007089756465
8200,328.0000000000202,848,8661.0,0.0618844458636502,0.06273408443837061,0.00803547512196647
8379,335.16000000002384,852,8585.0,0.059739841742267916,0.1606462100101944,0.008134304204995228
