trajectory_id,comparison_status
ANISO_B0,NOT_EVALUATED
ANISO_G,NOT_EVALUATED
ANISO_T,NOT_EVALUATED
ANISO_GT,NOT_EVALUATED
ANISO_GTC_GB,NOT_EVALUATED
ANISO_GSC_GBTJ_Ks025,NOT_EVALUATED
ANISO_GTSC_GBTJ_Ks025,NOT_EVALUATED
ANISO_GTSC_GBTJ_Ks030_LONG,NOT_EVALUATED
ANISO_E_ONLY_B0,NOT_EVALUATED
ANISO_M_ONLY_B0,NOT_EVALUATED
