regime,path,source_sha,starting_step,ending_step,starting_time,ending_time,starting_grains,ending_grains,status
C_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/C_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,3149,0.0,125.96000000000849,200,70,completed
GC_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GC_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,4072,0.0,162.88000000000187,200,70,completed
TC_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/TC_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,3435,0.0,137.40000000000694,200,70,completed
SC_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/SC_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,10000,0.0,400.000000000057,200,166,completed
GTC_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GTC_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,4632,0.0,185.27999999999741,200,70,completed
GSC_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GSC_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,10000,0.0,400.000000000057,200,83,completed
TSC_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/TSC_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,10000,0.0,400.000000000057,200,166,completed
GTSC_GB,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GTSC_GB-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,10000,0.0,400.000000000057,200,90,completed
C_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/C_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,2819,0.0,112.76000000000643,200,70,completed
GC_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GC_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,3897,0.0,155.88000000000326,200,70,completed
TC_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/TC_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,2789,0.0,111.56000000000624,200,70,completed
SC_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/SC_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,10000,0.0,400.000000000057,200,165,completed
GTC_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GTC_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,3990,0.0,159.60000000000252,200,70,completed
GSC_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GSC_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,10000,0.0,400.000000000057,200,85,completed
TSC_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/TSC_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,10000,0.0,400.000000000057,200,166,completed
GTSC_GBTJ,results/jerky_area_loss_factorial_long_20260822/20260823T012141Z-b907865386/GTSC_GBTJ-T900-s5101,396be9e48fdf85279833de1004ecf2b9c74065a0-dirty,0,10000,0.0,400.000000000057,200,91,completed
