regime,N_required,N_accommodated_GB,N_accommodated_TJ,f_GB,f_TJ,stored,conservation_residual,max_abs_conservation_residual
C_GB,1287.5000000000027,1200.0,0.0,1.0,0.0,87.49999999999999,2.7284841053187847e-12,3.637978807091713e-12
GC_GB,1316.5000000000068,1240.0,0.0,1.0,0.0,76.5,6.821210263296962e-12,6.821210263296962e-12
TC_GB,1310.5000000000048,1214.0,0.0,1.0,0.0,96.49999999999999,4.774847184307873e-12,5.002220859751105e-12
SC_GB,2425.500000000024,2404.0,0.0,1.0,0.0,21.499999999999904,2.364686224609613e-11,3.183231456205249e-11
GTC_GB,1350.000000000006,1253.0,0.0,1.0,0.0,97.0,6.139089236967266e-12,6.139089236967266e-12
GSC_GB,1991.000000000052,1919.0,0.0,1.0,0.0,71.99999999999999,5.161382432561368e-11,5.161382432561368e-11
TSC_GB,1588.0000000000323,1505.0,0.0,1.0,0.0,82.99999999999997,3.2514435588382185e-11,3.2514435588382185e-11
GTSC_GB,1635.5000000000323,1529.0,0.0,1.0,0.0,106.5,3.2287061912938946e-11,3.2287061912938946e-11
C_GBTJ,1254.500000000004,520.0,674.866733522514,0.4351949764866409,0.5648050235133589,59.63326647748763,2.0463630789890885e-12,3.183231456205249e-12
GC_GBTJ,1321.0000000000034,688.0,585.6229214864089,0.5401912829874755,0.4598087170125245,47.37707851359169,2.9558577807620168e-12,4.092726157978177e-12
TC_GBTJ,1274.4999999999986,542.0,679.5652531292245,0.4436930394111857,0.5563069605888143,52.9347468707763,-2.0463630789890885e-12,6.252776074688882e-12
SC_GBTJ,3129.000000000018,1293.0,1831.7156461228817,0.4137976527894122,0.5862023472105878,4.284353877117034,2.0008883439004418e-11,3.5470293369144195e-11
GTC_GBTJ,1325.5000000000036,688.0,598.4900253749519,0.5347884448614205,0.4652115551385793,39.009974625048145,3.410605131648481e-12,4.547473508864641e-12
GSC_GBTJ,2100.0000000000277,1018.0,1077.697653677161,0.4857570929727354,0.5142429070272647,4.302346322837831,2.864908310584724e-11,5.2523319027386606e-11
TSC_GBTJ,3600.9999999998063,1407.753784135018,2187.54826145012,0.3915536904232214,0.6084463095767786,5.697954414866179,-1.9826984498649838e-10,2.0099832909181714e-10
GTSC_GBTJ,2501.9999999999545,1186.0,1288.0846221109784,0.4793692137288585,0.5206307862711413,27.915377889019226,-4.3200998334214085e-11,4.3200998334214085e-11
