regime,metric,metric_bin,time_bin,pairs,same_entity_fraction,same_gb_fraction,shared_tj_connectivity_fraction
C_GB,distance,"(-inf, 4.0]","(-inf, 0.04]",23,0.0,0.0,1.0
C_GB,distance,"(-inf, 4.0]","(0.04, 0.16]",57,0.21052631578947367,0.22807017543859648,0.7719298245614035
C_GB,distance,"(-inf, 4.0]","(0.16, 0.32]",52,0.21153846153846154,0.23076923076923078,0.7692307692307693
C_GB,distance,"(-inf, 4.0]","(0.32, 1.0]",202,0.33663366336633666,0.3415841584158416,0.6435643564356436
C_GB,distance,"(16.0, 32.0]","(-inf, 0.04]",30,0.0,0.0,0.03333333333333333
C_GB,distance,"(16.0, 32.0]","(0.04, 0.16]",86,0.0,0.0,0.09302325581395349
C_GB,distance,"(16.0, 32.0]","(0.16, 0.32]",142,0.0,0.0,0.14788732394366197
C_GB,distance,"(16.0, 32.0]","(0.32, 1.0]",615,0.0,0.0,0.12682926829268293
C_GB,distance,"(32.0, 64.0]","(-inf, 0.04]",120,0.0,0.0,0.0
C_GB,distance,"(32.0, 64.0]","(0.04, 0.16]",338,0.0,0.0,0.005917159763313609
C_GB,distance,"(32.0, 64.0]","(0.16, 0.32]",468,0.0,0.0,0.00641025641025641
C_GB,distance,"(32.0, 64.0]","(0.32, 1.0]",2105,0.0,0.0,0.009501187648456057
C_GB,distance,"(4.0, 8.0]","(-inf, 0.04]",4,0.0,0.0,1.0
C_GB,distance,"(4.0, 8.0]","(0.04, 0.16]",18,0.0,0.05555555555555555,0.6666666666666666
C_GB,distance,"(4.0, 8.0]","(0.16, 0.32]",28,0.0,0.03571428571428571,0.8214285714285714
C_GB,distance,"(4.0, 8.0]","(0.32, 1.0]",112,0.0,0.008928571428571428,0.7767857142857143
C_GB,distance,"(64.0, inf]","(-inf, 0.04]",324,0.0,0.0,0.0030864197530864196
C_GB,distance,"(64.0, inf]","(0.04, 0.16]",1040,0.0,0.0,0.0009615384615384616
C_GB,distance,"(64.0, inf]","(0.16, 0.32]",1387,0.0,0.0,0.0007209805335255948
C_GB,distance,"(64.0, inf]","(0.32, 1.0]",5864,0.0,0.0,0.00034106412005457026
C_GB,distance,"(8.0, 16.0]","(-inf, 0.04]",10,0.0,0.0,0.6
C_GB,distance,"(8.0, 16.0]","(0.04, 0.16]",39,0.0,0.0,0.4358974358974359
C_GB,distance,"(8.0, 16.0]","(0.16, 0.32]",34,0.0,0.029411764705882353,0.3235294117647059
C_GB,distance,"(8.0, 16.0]","(0.32, 1.0]",154,0.0,0.012987012987012988,0.35714285714285715
C_GBTJ,distance,"(-inf, 4.0]","(-inf, 0.04]",53,0.07547169811320754,0.0,0.9245283018867925
C_GBTJ,distance,"(-inf, 4.0]","(0.04, 0.16]",118,0.3983050847457627,0.2288135593220339,0.6440677966101694
C_GBTJ,distance,"(-inf, 4.0]","(0.16, 0.32]",154,0.34415584415584416,0.16883116883116883,0.6948051948051948
C_GBTJ,distance,"(-inf, 4.0]","(0.32, 1.0]",528,0.35795454545454547,0.21212121212121213,0.6079545454545454
C_GBTJ,distance,"(16.0, 32.0]","(-inf, 0.04]",115,0.0,0.0,0.043478260869565216
C_GBTJ,distance,"(16.0, 32.0]","(0.04, 0.16]",374,0.0,0.0,0.034759358288770054
C_GBTJ,distance,"(16.0, 32.0]","(0.16, 0.32]",434,0.0,0.0,0.018433179723502304
C_GBTJ,distance,"(16.0, 32.0]","(0.32, 1.0]",1872,0.0,0.0,0.011217948717948718
C_GBTJ,distance,"(32.0, 64.0]","(-inf, 0.04]",494,0.0,0.0,0.004048582995951417
C_GBTJ,distance,"(32.0, 64.0]","(0.04, 0.16]",1336,0.0,0.0,0.0
C_GBTJ,distance,"(32.0, 64.0]","(0.16, 0.32]",1691,0.0,0.0,0.0
C_GBTJ,distance,"(32.0, 64.0]","(0.32, 1.0]",7545,0.0,0.0,0.0001325381047051027
C_GBTJ,distance,"(4.0, 8.0]","(-inf, 0.04]",22,0.0,0.0,0.5909090909090909
