regime,entity_type,entity_time,G_fraction,T_fraction,C_fraction,blocked_fraction,G_and_C_fraction
C_GB,GB,62541.40000000328,0.0,0.0,0.036222406278081085,0.036222406278081085,0.0
GC_GB,GB,81745.44000000104,0.11561941559064359,0.0,0.0278004497865573,0.1426888154250568,0.0007310499521441085
TC_GB,GB,69526.20000000288,0.0,0.0,0.03046045951022762,0.03046045951022762,0.0
TC_GB,TJ,33145.60000000122,0.0,0.07346374782776605,0.0,0.07346374782776605,0.0
SC_GB,GB,253488.00000003589,0.0,0.0,0.017231584927096776,0.017231584927096776,0.0
GTC_GB,GB,92926.9599999994,0.11030254298644862,0.0,0.025919711567020064,0.13549049705273908,0.0007317575007296054
GTC_GB,TJ,44120.31999999989,0.0,0.056931590704691275,0.0,0.056931590704691275,0.0
GSC_GB,GB,200678.00000002354,0.03640658168807646,0.0,0.021676516608695753,0.057943571293313956,0.00013952700345825378
TSC_GB,GB,254530.00000003603,0.0,0.0,0.009492004871724262,0.009492004871724262,0.0
TSC_GB,TJ,134848.000000019,0.0,0.039422164214521764,0.0,0.039422164214521764,0.0
GTSC_GB,GB,206122.00000002552,0.03134066232619377,0.0,0.016262213640465095,0.04745733109517499,0.00014554487148387294
GTSC_GB,TJ,98648.00000001123,0.0,0.04758332657529733,0.0,0.04758332657529733,0.0
C_GBTJ,GB,56697.400000002475,0.0,0.0,0.009105884925940074,0.009105884925940074,0.0
C_GBTJ,TJ,26735.440000000985,0.0,0.0010472990158381461,0.018413012839885754,0.019460311855723902,0.0
GC_GBTJ,GB,78363.84000000158,0.12239931070248716,0.0,0.005918035665429322,0.12798556068717395,0.00033178568074252346
GC_GBTJ,TJ,37314.720000000714,0.0,0.0004255693195607182,0.013449920031558638,0.013875489351119359,0.0
TC_GBTJ,GB,56260.0800000024,0.0,0.0,0.009041579748908981,0.009041579748908981,0.0
TC_GBTJ,TJ,26606.88000000096,0.0,0.001110990841466556,0.019661080141677677,0.02077207098314424,0.0
SC_GBTJ,GB,255284.00000003615,0.0,0.0,0.005758292724965014,0.005758292724965014,0.0
SC_GBTJ,TJ,135304.00000001915,0.0,0.00019215987701766274,0.013983326435286393,0.014175486312304057,0.0
GTC_GBTJ,GB,79866.4000000013,0.12214398044734684,0.0,0.005454108360962725,0.12727254515040087,0.00032554365790869575
GTC_GBTJ,TJ,38022.40000000063,0.0,0.0002630028614711135,0.013507826965157269,0.013770829826628382,0.0
GSC_GBTJ,GB,199538.00000002413,0.03588288947468487,0.0,0.0056530585652857885,0.041495855426032464,4.0092613938196886e-05
GSC_GBTJ,TJ,94620.00000001039,0.0,4.2274360600312904e-05,0.01543014161910788,0.015472415979708191,0.0
TSC_GBTJ,GB,254594.00000003615,0.0,0.0,0.0067008649064786195,0.0067008649064786195,0.0
TSC_GBTJ,TJ,135124.0000000191,0.0,0.0002812231727894607,0.01676978183002286,0.017051005002812324,0.0
GTSC_GBTJ,GB,202276.00000002517,0.03228262374181566,0.0,0.006367537424113608,0.0385809488026237,6.921236330558085e-05
GTSC_GBTJ,TJ,95912.00000001102,0.0,0.00012511468846441274,0.01764117107348406,0.017766285761948473,0.0
