regime,topology_window,grain_count_start,grain_count_end,points,a,b,r2
C_GB,0,200,161,11,361.8573384108532,-2658.1860390582788,0.29965688974206073
C_GB,1,159,127,11,82.94937601794251,-627.7783676847346,0.02255133585830693
C_GB,2,123,100,11,19.091501814871215,-160.0094170191834,0.0719898458376459
C_GB,3,97,86,11,186.0630860758876,-1894.4483428350993,0.14848384083862498
C_GB,4,85,70,11,-664.6637677771403,7764.376287790207,0.10708042600624224
GC_GB,0,200,155,15,9.76897396327314,-41.45938197492178,0.03282976241593394
GC_GB,1,152,122,15,-1596.4507136492723,14215.170755819758,0.07918880425149222
GC_GB,2,120,98,14,142.117185199944,-1332.8995217240697,0.36686788119890046
GC_GB,3,97,85,15,-266.49155067830947,3024.9740406962287,0.04364826779093811
GC_GB,4,84,70,15,-20.610717620790457,304.3916781665566,0.0065085328778911045
TC_GB,0,200,162,13,13.524122457589531,21.444008433825008,0.00010029720370208217
TC_GB,1,156,121,12,-8.39118228451413,95.58430588294338,0.09354300868996379
TC_GB,2,118,100,12,10.939643999574342,-72.4624761371144,0.03969466246796205
TC_GB,3,99,83,12,-20.558514666009923,246.45041640399907,0.16722109554646658
TC_GB,4,82,70,13,107.33392708858005,-1145.3345174040214,0.052022148818808844
SC_GB,0,200,168,18,162.73920024636072,-1156.5925644664514,0.06687984248328904
SC_GB,1,167,166,18,1744046.0072905116,-13949133.04066825,0.020873212060362856
SC_GB,2,166,166,18,425606.0887341162,-3403593.2441301188,0.012431421030026368
SC_GB,3,166,166,18,-6968542.213039582,55838432.235096954,0.029068770208057204
SC_GB,4,166,166,18,713354.4646332777,-5665105.710586955,4.093847333241918e-06
GTC_GB,0,200,153,17,6.472549512208391,12.106595167621386,0.0007027579727368893
GTC_GB,1,152,115,16,-10.363441594830133,126.14463512592214,0.050190719808382744
GTC_GB,2,114,99,16,42.42978008844534,-278.7935499738346,0.0037158027393134896
GTC_GB,3,98,84,16,-115.03841293829966,1286.1937000923583,0.06782064680899524
GTC_GB,4,81,70,17,-7.116265262541639,153.1435230210019,0.00045611074468610013
GSC_GB,0,200,156,23,383.300941031045,-2851.2783665104243,0.31093478925783946
GSC_GB,1,155,130,23,68.20479707331975,-425.7858763705018,0.004993060088738122
GSC_GB,2,129,112,22,-1.8469237194875787,83.52370270835185,0.0001169446554286635
GSC_GB,3,112,97,23,-89.13861883836456,951.7029671197254,0.5298870879732721
GSC_GB,4,95,83,23,-3.9753997500335596,83.7194357058562,0.015634489995310474
TSC_GB,0,200,169,23,165.46003798397535,-1162.0666981334168,0.1942383327845656
TSC_GB,1,169,166,23,619128.6571016381,-4923882.562780689,0.0526280295250634
TSC_GB,2,166,166,22,-6819222.493838208,54767777.89259394,0.006259215590876388
TSC_GB,3,166,166,23,-13100914.422487278,105179852.76115109,0.002796339631438216
TSC_GB,4,166,166,23,-18755691.71313099,150589733.4103115,0.04726926110421392
GTSC_GB,0,200,160,22,626.6628125971803,-4655.099739237761,0.10374062623973346
GTSC_GB,1,159,135,22,-630.5600070160449,5478.7774684334345,0.20846840157384294
GTSC_GB,2,134,118,21,-145.59365727721402,1419.3200024767532,0.22492121223453798
GTSC_GB,3,116,104,22,-28.164560961831874,336.6758412035052,0.08076503840654559
GTSC_GB,4,103,90,22,-21.877907558754224,278.1694186567129,0.13713497348342218
C_GBTJ,0,200,159,11,34.50436213134112,-232.1838078879352,0.3283091187976098
C_GBTJ,1,156,116,11,-16.602595189922674,166.21686679242262,0.11541581139626056
C_GBTJ,2,113,99,10,-98.57536925897566,1035.1855441098087,0.07145876921422045
C_GBTJ,3,98,86,11,188.9011836987888,-1918.238996079455,0.1261998676742111
C_GBTJ,4,83,70,11,-1519.0884517758263,18023.162769983534,0.10357609578538007
GC_GBTJ,0,200,158,14,28.414259993156342,-176.77309148662118,0.0466798740039267
GC_GBTJ,1,157,126,13,-343.9599124541698,3070.6536350594924,0.060285963229909756
GC_GBTJ,2,124,101,13,86.43194926035726,-784.3681145353578,0.17076149646540217
GC_GBTJ,3,100,87,13,-17783.686060200664,197285.8148236021,0.01266286048659937
GC_GBTJ,4,86,70,14,-113.8930861759251,1334.049173714817,0.2995485984402728
TC_GBTJ,0,200,159,11,25.9506320007272,-168.64851931800456,0.1886250474748944
TC_GBTJ,1,154,122,10,-16.14171591202913,158.75674339296162,0.25731221093314394
TC_GBTJ,2,116,100,10,20.5839931588633,-171.0246448661008,0.11022036701574267
TC_GBTJ,3,100,88,10,92.43152247668438,-919.7669286061005,0.18085780569230991
TC_GBTJ,4,87,70,10,-17.339886473731266,214.291951136468,0.22925981222419978
SC_GBTJ,0,200,167,22,2214.4116857892723,-16607.921152344567,0.14797664063563476
SC_GBTJ,1,167,167,22,3541868.0016230494,-28262974.3145863,0.08227390654271549
SC_GBTJ,2,167,166,21,-101958.27644976902,824702.9076153486,0.006902291828377427
SC_GBTJ,3,166,166,22,-20197450.724205844,161771477.3955447,0.004691675644365789
SC_GBTJ,4,166,165,22,4627161.287067718,-37031520.634872004,0.1090441637372741
GTC_GBTJ,0,200,158,13,6.159029615029599,-13.554968567488237,0.005732061421557133
GTC_GBTJ,1,155,129,12,25.412004607016826,-143.91195180648478,0.00609856884137272
GTC_GBTJ,2,126,101,13,72.53815162071467,-632.4003060416434,0.08603192115895242
GTC_GBTJ,3,101,86,12,-34.27791597454404,386.96902055215895,0.41372303148531775
GTC_GBTJ,4,84,70,13,-28.802371190901518,374.67060328682504,0.0284484939586771
GSC_GBTJ,0,200,154,24,81.27059085575557,-571.3977496699707,0.2077377418327746
GSC_GBTJ,1,153,131,23,-203.001439575447,1865.9726198178496,0.17237437816984225
GSC_GBTJ,2,130,112,23,-161.2003420453226,1589.373561098983,0.28374615589217955
GSC_GBTJ,3,111,98,23,-74.98142718728883,808.7423493503006,0.5824129847202082
GSC_GBTJ,4,98,85,24,-18.781250764878127,246.51535978856637,0.2989310376972343
TSC_GBTJ,0,200,167,22,27246.20903146412,-206026.71267261988,0.19473626329151938
TSC_GBTJ,1,167,167,22,-138331092.15733308,1104887545.343061,0.011629346051171274
TSC_GBTJ,2,167,167,21,104049060.04955044,-830878879.293394,0.20892505849593002
TSC_GBTJ,3,167,167,22,-185537203.6443792,1481722072.1483185,0.06150403320467712
TSC_GBTJ,4,167,166,22,-2848120.736127902,22868085.12589958,0.04765527844712103
GTSC_GBTJ,0,200,158,21,30.680500125278115,-161.228137190444,0.010943357409928134
GTSC_GBTJ,1,155,134,21,-581.9616682733762,5178.65284720199,0.0506865594613336
GTSC_GBTJ,2,134,119,21,-83.47234245292249,866.7493353107191,0.048073168257532495
GTSC_GBTJ,3,118,103,21,13.118100980711771,-75.00451472343984,0.01831200821716339
GTSC_GBTJ,4,103,91,21,-29.954464179408028,359.16767292797664,0.2566864526806629
