case,state_index,physical_time,maximum_active_phases,maximum_active_pairs,supported_pair_instances,zero_gradient_pair_instances,minimum_nonzero_pair_gradient,maximum_phase_sum_error,minimum_phase_value,finite
A0,0,0.0,7,21,64824,26,0.001484508371975224,2.220446049250313e-16,0.0,True
A0,1,6.36493341483619e-05,7,21,64824,1,6.298734995862851e-08,4.440892098500626e-16,0.0,True
A0,2,0.0001272986682967238,7,21,64824,0,5.525218060853376e-10,2.220446049250313e-16,0.0,True
A0,3,0.00019094800244508567,7,21,64824,0,1.6574671769624405e-09,2.220446049250313e-16,0.0,True
A0,4,0.0002545973365934476,7,21,64824,0,3.314737617200747e-09,3.3306690738754696e-16,0.0,True
A0,5,0.0003182466707418095,7,21,64824,0,5.524234378100068e-09,3.3306690738754696e-16,0.0,True
A0,6,0.0003818960048901714,7,21,64824,0,8.285858457907427e-09,3.3306690738754696e-16,0.0,True
A0,7,0.0004455453390385333,7,21,64824,0,1.1599510601600221e-08,3.3306690738754696e-16,0.0,True
A0,8,0.0005091946731868951,7,21,64824,0,1.546509130197042e-08,3.3306690738754696e-16,0.0,True
A0,9,0.0005728440073352571,7,21,64824,0,1.988250079919089e-08,3.3306690738754696e-16,0.0,True
A0,10,0.000636493341483619,7,21,64824,0,2.4851639081682753e-08,3.3306690738754696e-16,0.0,True
A0,11,0.0007001426756319809,7,21,64824,0,3.037240588611538e-08,2.220446049250313e-16,0.0,True
A0,12,0.0007637920097803428,7,21,64824,0,3.644470069784009e-08,2.220446049250313e-16,0.0,True
A0,13,0.0008274413439287047,7,21,64824,0,4.3068422751106963e-08,2.220446049250313e-16,0.0,True
A0,14,0.0008910906780770666,7,21,64824,0,5.0243471029064873e-08,2.220446049250313e-16,0.0,True
A0,15,0.0009547400122254285,7,21,64824,0,5.796974426484566e-08,3.3306690738754696e-16,0.0,True
A0,16,0.0010183893463737903,7,21,64824,0,6.624714094080521e-08,3.3306690738754696e-16,0.0,True
A0,17,0.001082038680522152,7,21,64824,0,7.507555928982449e-08,3.3306690738754696e-16,0.0,True
A0,18,0.001145688014670514,7,21,64824,0,8.445489729498427e-08,3.3306690738754696e-16,0.0,True
A0,19,0.0012093373488188757,7,21,64824,0,9.438505268989043e-08,3.3306690738754696e-16,0.0,True
A0,20,0.0012729866829672375,7,21,64824,0,1.0486592295932441e-07,3.3306690738754696e-16,0.0,True
A0,21,0.0013366360171155993,7,21,64824,0,1.158974053392433e-07,2.220446049250313e-16,0.0,True
A0,22,0.001400285351263961,7,21,64824,0,1.27479396817105e-07,2.220446049250313e-16,0.0,True
A0,23,0.0014639346854123229,7,21,64824,0,1.3961179413208517e-07,3.3306690738754696e-16,0.0,True
A0,24,0.0015275840195606847,7,21,64824,0,1.5229449377572764e-07,3.3306690738754696e-16,0.0,True
A0,25,0.0015912333537090465,7,21,64824,0,1.6552739199183607e-07,2.220446049250313e-16,0.0,True
A0,26,0.0016548826878574083,7,21,64824,0,1.7931038477701604e-07,2.220446049250313e-16,0.0,True
A0,27,0.00171853202200577,7,21,64824,0,1.93643367880675e-07,4.440892098500626e-16,0.0,True
A0,28,0.0017821813561541319,7,21,64824,0,2.0852623680578126e-07,2.220446049250313e-16,0.0,True
A0,29,0.0018458306903024937,7,21,64824,0,2.2395888680864715e-07,2.220446049250313e-16,0.0,True
A0,30,0.0019094800244508555,7,21,64824,0,2.399412128996879e-07,2.220446049250313e-16,0.0,True
A0,31,0.0019731293585992173,7,21,64824,0,2.5647310984309654e-07,2.220446049250313e-16,0.0,True
A0,32,0.0020367786927475793,7,21,64824,0,2.7355447215798205e-07,3.3306690738754696e-16,0.0,True
A0,33,0.0021004280268959413,7,21,64824,0,2.9118519411793593e-07,2.220446049250313e-16,0.0,True
A0,34,0.0021640773610443033,7,21,64824,0,3.0936516975157416e-07,2.220446049250313e-16,0.0,True
A0,35,0.0022277266951926653,7,21,64824,0,3.280942928429167e-07,2.220446049250313e-16,0.0,True
