case,state_index,physical_time,energy,relative_change
A0,0,0.0,5210.112257121886,0.0
A0,1,6.36493341483619e-05,5209.775808594999,-6.457606099115558e-05
A0,2,0.0001272986682967238,5209.439631045578,-0.00012910011207312665
A0,3,0.00019094800244508567,5209.103724183327,-0.0001935722089633956
A0,4,0.0002545973365934476,5208.768087718992,-0.00025799240718009343
A0,5,0.0003182466707418095,5208.432721363271,-0.0003223607622500794
A0,6,0.00038189600489017133,5208.097624827489,-0.000386677329580113
A0,7,0.00044554533903853324,5207.762797823174,-0.0004509421645378518
A0,8,0.0005091946731868951,5207.42824006218,-0.0005151553224284594
A0,9,0.0005728440073352571,5207.093951256795,-0.0005793168584736582
A0,10,0.000636493341483619,5206.75993111966,-0.0006434268278276148
A0,11,0.0007001426756319809,5206.426179363567,-0.000707485285615518
A0,12,0.0007637920097803427,5206.09269570193,-0.0007714922868429807
A0,13,0.0008274413439287046,5205.759479848348,-0.0008354478864803543
A0,14,0.0008910906780770665,5205.426531516725,-0.000899352139439162
A0,15,0.0009547400122254284,5205.093850421572,-0.0009632051005146681
A0,16,0.0010183893463737903,5204.761436277325,-0.0010270068245164508
A0,17,0.001082038680522152,5204.429288799061,-0.0010907573661308467
A0,18,0.0011456880146705141,5204.097407702092,-0.0011544567799996789
A0,19,0.001209337348818876,5203.7657927023265,-0.0012181051206495584
A0,20,0.001272986682967238,5203.434443515541,-0.0012817024426329318
A0,21,0.0013366360171155997,5203.103359858226,-0.0013452488003648643
A0,22,0.0014002853512639617,5202.772541447042,-0.0014087442482281266
A0,23,0.0014639346854123235,5202.441987999139,-0.0014721888405114004
A0,24,0.0015275840195606853,5202.111699231756,-0.0015355826314862593
A0,25,0.0015912333537090474,5201.78167486286,-0.0015989256752842779
A0,26,0.0016548826878574092,5201.451914610264,-0.0016622180260672298
A0,27,0.0017185320220057712,5201.122418192565,-0.001725459737845717
A0,28,0.001782181356154133,5200.793185328444,-0.0017886508646148048
A0,29,0.001845830690302495,5200.46421573705,-0.0018517914602794846
A0,30,0.0019094800244508568,5200.135509137726,-0.0019148815787072163
A0,31,0.0019731293585992186,5199.8070652503175,-0.001977921273669624
A0,32,0.0020367786927475806,5199.478883794915,-0.0020409105988906774
A0,33,0.0021004280268959426,5199.150964491891,-0.002103849608040928
A0,34,0.002164077361044304,5198.823307062016,-0.002166738354713597
A0,35,0.002227726695192666,5198.495911226525,-0.0022295768924137514
A0,36,0.0022913760293410282,5198.168776706868,-0.0022923652746045615
A0,37,0.0023550253634893902,5197.84190322462,-0.0023551035547252834
A0,38,0.002418674697637752,5197.515290502105,-0.002417791786071682
A0,39,0.002482324031786114,5197.188938261713,-0.002480430021926605
A0,40,0.002545973365934476,5196.862846226064,-0.0025430183155287344
A0,41,0.0026096227000828374,5196.537014118539,-0.0026055567199708184
A0,42,0.0026732720342311994,5196.211441667154,-0.002668045287456204
A0,43,0.0027369213683795615,5195.8861286385345,-0.002730484062777152
A0,44,0.0028005707025279235,5195.561579978121,-0.0027927761295114288
A0,45,0.002864220036676285,5195.243691469534,-0.0028537898837069685
A0,46,0.002927869370824647,5194.931110571098,-0.002913784924698394
A0,47,0.002991518704973009,5194.629181163447,-0.002971735577726562
A0,48,0.0030551680391213707,5194.364715861586,-0.003022495578434797
A0,49,0.0031188173732697327,5194.1005669285005,-0.003073194857077845
A0,50,0.0031824667074180947,5193.859153440697,-0.003119530420668358
A0,51,0.0032461160415664567,5193.64429958374,-0.0031607682762757
A0,52,0.0033097653757148183,5193.45543534201,-0.003197017829530838
A0,53,0.0033734147098631803,5193.266935495588,-0.003233197442775131
A0,54,0.0034370640440115423,5193.083042119872,-0.0032684929156250454
A0,55,0.0035007133781599043,5192.925178914833,-0.0032987923021349764
A0,56,0.003564362712308266,5192.777328072206,-0.0033271699714308768
A0,57,0.003628012046456628,5192.630345605855,-0.003355380969408891
A0,58,0.00369166138060499,5192.483531679204,-0.00338355961881325
A0,59,0.0037553107147533515,5192.336886068455,-0.0034117059625985865
A0,60,0.0038189600489017136,5192.190408550825,-0.003439820043524544
A0,61,0.0038826093830500756,5192.044098903296,-0.003467901904395978
A0,62,0.003946258717198437,5191.897956903438,-0.003495951587904803
A0,63,0.0040099080513468,5191.751982329063,-0.0035239691366966727
A0,64,0.004073557385495161,5191.6061749583605,-0.003551954593344624
A2 coarse,0,0.0,5236.012485284901,0.0
A2 coarse,1,6.36493341483619e-05,5235.07258424878,-0.00017950702729657182
A2 coarse,2,0.0001272986682967238,5233.855899223355,-0.00041187565301023787
A2 coarse,3,0.00019094800244508567,5232.57313980266,-0.0006568634990666968
A2 coarse,4,0.0002545973365934476,5231.341530987387,-0.0008920823452276235
A2 coarse,5,0.0003182466707418095,5230.060092388169,-0.001136817934155103
A2 coarse,6,0.00038189600489017133,5228.734657909691,-0.0013899560773897024
A2 coarse,7,0.00044554533903853324,5227.405160965946,-0.0016438700906738787
A2 coarse,8,0.0005091946731868951,5226.035080508278,-0.0019055349475699923
A2 coarse,9,0.0005728440073352571,5224.653311024607,-0.0021694322334443092
A2 coarse,10,0.000636493341483619,5223.23686941174,-0.002439951376942852
