case,amplitude_threshold,mean_phases_per_cell,p95_phases_per_cell,maximum_phases_per_cell,inverse_participation_mean,inverse_participation_p95,inverse_participation_maximum
initial,1e-14,1.8395182291666667,3.0,6,1.2733044358663008,1.9906695839035826,4.2596077814612965
initial,1e-12,1.8395182291666667,3.0,6,1.2733044358663008,1.9906695839035826,4.2596077814612965
initial,1e-10,1.8395182291666667,3.0,6,1.2733044358663008,1.9906695839035826,4.2596077814612965
initial,1e-08,1.8395182291666667,3.0,6,1.2733044358663008,1.9906695839035826,4.2596077814612965
initial,1e-06,1.8395182291666667,3.0,6,1.2733044358663008,1.9906695839035826,4.2596077814612965
initial,0.0001,1.8395182291666667,3.0,6,1.2733044358663008,1.9906695839035826,4.2596077814612965
initial,0.01,1.7135145399305556,3.0,6,1.2733044358663008,1.9906695839035826,4.2596077814612965
A0,1e-14,1.7135145399305556,3.0,6,1.2706582751896096,1.983913253575048,4.241466518239673
A0,1e-12,1.7135145399305556,3.0,6,1.2706582751896096,1.983913253575048,4.241466518239673
A0,1e-10,1.7135145399305556,3.0,6,1.2706582751896096,1.983913253575048,4.241466518239673
A0,1e-08,1.7135145399305556,3.0,6,1.2706582751896096,1.983913253575048,4.241466518239673
A0,1e-06,1.7135145399305556,3.0,6,1.2706582751896096,1.983913253575048,4.241466518239673
A0,0.0001,1.7135145399305556,3.0,6,1.2706582751896096,1.983913253575048,4.241466518239673
A0,0.01,1.7045084635416667,3.0,6,1.2706582751896096,1.983913253575048,4.241466518239673
A2 coarse,1e-14,36.635959201388886,58.0,69,1.2740549478876557,1.9938782128505814,4.844678641663719
A2 coarse,1e-12,33.46356879340278,57.0,68,1.2740549478876557,1.9938782128505814,4.844678641663719
A2 coarse,1e-10,29.71139865451389,56.0,68,1.2740549478876557,1.9938782128505814,4.844678641663719
A2 coarse,1e-08,24.56103515625,55.0,67,1.2740549478876557,1.9938782128505814,4.844678641663719
A2 coarse,1e-06,15.512044270833334,47.0,64,1.2740549478876557,1.9938782128505814,4.844678641663719
A2 coarse,0.0001,2.998046875,10.0,49,1.2740549478876557,1.9938782128505814,4.844678641663719
A2 coarse,0.01,1.6339518229166667,3.0,12,1.2740549478876557,1.9938782128505814,4.844678641663719
A2 half dt,1e-14,116.782958984375,171.0,181,1.2777940113613298,2.011810060774775,5.86062167640598
A2 half dt,1e-12,105.32638888888889,169.0,181,1.2777940113613298,2.011810060774775,5.86062167640598
A2 half dt,1e-10,90.28268771701389,168.0,181,1.2777940113613298,2.011810060774775,5.86062167640598
A2 half dt,1e-08,69.45187717013889,163.0,181,1.2777940113613298,2.011810060774775,5.86062167640598
A2 half dt,1e-06,32.48505316840278,128.0,178,1.2777940113613298,2.011810060774775,5.86062167640598
A2 half dt,0.0001,3.824462890625,18.0,137,1.2777940113613298,2.011810060774775,5.86062167640598
A2 half dt,0.01,1.6231825086805556,3.0,21,1.2777940113613298,2.011810060774775,5.86062167640598
