case,crystal_frame_normal_degrees,gradient_weighted_density_per_radian,total_gradient_weight,harmonic_2,harmonic_4,harmonic_6,harmonic_8
initial,2.5,0.295769740295024,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,7.499999999999999,0.3163400790312136,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,12.499999999999998,0.31194688456618885,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,17.5,0.3537727040467929,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,22.5,0.3615144625284429,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,27.5,0.33071777653224826,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,32.5,0.35434703546694246,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,37.49999999999999,0.324964606268656,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,42.5,0.31058322928113136,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,47.5,0.38528203593928,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,52.50000000000001,0.3801243304991515,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,57.5,0.32518743483563484,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,62.50000000000001,0.32538575792676105,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,67.5,0.32046947954560806,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,72.5,0.2885430928900519,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,77.5,0.27989810391609954,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,82.5,0.31060111928773027,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,87.5,0.34301156778868025,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,92.5,0.30933566869718526,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,97.49999999999999,0.26772387210422693,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,102.5,0.28434342758983366,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,107.5,0.2954601103552185,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,112.5,0.2722671788426102,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
initial,117.5,0.29865862842350993,10311.608112624344,0.027878015706983426,0.027409030643372856,0.008619372986090428,0.005774347127240273
