case,stage,start_step,end_step,accepted_steps,block_seconds,seconds_per_step
A0,continuous,0,16,16,6.118941299151629,0.3824338311969768
A0,continuous,16,32,16,4.830402744933963,0.3019001715583727
A0,continuous,32,48,16,4.8295680589508265,0.30184800368442666
A0,continuous,48,64,16,4.8366341351065785,0.30228963344416115
A0,restart,32,48,16,0.8272219211794436,0.051701370073715225
A0,restart,48,64,16,0.8265583070460707,0.05165989419037942
A2 coarse,continuous,0,16,16,17.35420181718655,1.0846376135741593
A2 coarse,continuous,16,32,16,63.848911952925846,3.9905569970578654
A2 coarse,continuous,32,48,16,257.81356976297684,16.113348110186053
A2 coarse,continuous,48,64,16,783.5160662899725,48.96975414312328
A2 coarse,restart,32,48,16,175.23026940785348,10.951891837990843
A2 coarse,restart,48,64,16,537.1651415610686,33.57282134756679
A2 half dt,continuous,0,16,16,15.917748101055622,0.9948592563159764
A2 half dt,continuous,16,32,16,64.17826070799492,4.011141294249683
A2 half dt,continuous,32,48,16,254.2541534928605,15.890884593303781
A2 half dt,continuous,48,64,16,767.7907243319787,47.98692027074867
A2 half dt,continuous,64,80,16,1870.1073556309566,116.88170972693479
A2 half dt,continuous,80,96,16,3897.1446467940696,243.57154042462935
A2 half dt,continuous,96,112,16,7102.956680431031,443.9347925269394
A2 half dt,continuous,112,128,16,10625.667207555147,664.1042004721967
A2 half dt,restart,64,80,16,1284.0792490751483,80.25495306719677
A2 half dt,restart,80,96,16,2682.987742352998,167.68673389706237
A2 half dt,restart,96,112,16,4908.484409712022,306.7802756070014
A2 half dt,restart,112,126,14,6319.426020030165,451.3875728592975
