regime,N_required,N_accommodated_GB,N_accommodated_TJ,f_GB,f_TJ,stored,conservation_residual,max_abs_conservation_residual
C_GB_FAST,579.4999999999983,552.0,0.0,1.0,0.0,27.49999999999999,-1.7053025658242404e-12,1.8189894035458565e-12
C_GB_SLOW,610.0000000000005,537.0,0.0,1.0,0.0,73.0,4.547473508864641e-13,1.4779288903810084e-12
C_GBTJ_FAST,588.0000000000001,344.0,221.7907678354611,0.6079986093022278,0.3920013906977722,22.209232164539056,-1.1368683772161605e-13,2.614797267597169e-12
C_GBTJ_SLOW,616.5000000000009,187.0,367.3377610543048,0.3373394582471549,0.662660541752845,62.16223894569485,1.2505552149377765e-12,1.5916157281026244e-12
