regime,sink_path,stage,events,observed_mean_residence,observed_median_residence,rate_implied_mean_residence,median_rate
G_LOW,gb_disconnection_sink,nucleation,0,,,,
G_LOW,gb_disconnection_sink,exchange,0,,,,
G_LOW,gb_disconnection_sink,transport,0,,,,
G_LOW,tj_sink,nucleation,0,,,,
G_LOW,tj_sink,exchange,0,,,,
G_LOW,tj_sink,transport,0,,,,
G_HIGH,gb_disconnection_sink,nucleation,0,,,,
G_HIGH,gb_disconnection_sink,exchange,0,,,,
G_HIGH,gb_disconnection_sink,transport,0,,,,
G_HIGH,tj_sink,nucleation,0,,,,
G_HIGH,tj_sink,exchange,0,,,,
G_HIGH,tj_sink,transport,0,,,,
T_LOW,gb_disconnection_sink,nucleation,0,,,,
T_LOW,gb_disconnection_sink,exchange,0,,,,
T_LOW,gb_disconnection_sink,transport,0,,,,
T_LOW,tj_sink,nucleation,0,,,,
T_LOW,tj_sink,exchange,0,,,,
T_LOW,tj_sink,transport,0,,,,
T_HIGH,gb_disconnection_sink,nucleation,0,,,,
T_HIGH,gb_disconnection_sink,exchange,0,,,,
T_HIGH,gb_disconnection_sink,transport,0,,,,
T_HIGH,tj_sink,nucleation,0,,,,
T_HIGH,tj_sink,exchange,0,,,,
T_HIGH,tj_sink,transport,0,,,,
GS_PACKET_05,gb_disconnection_sink,nucleation,0,,,,
GS_PACKET_05,gb_disconnection_sink,exchange,0,,,,
GS_PACKET_05,gb_disconnection_sink,transport,0,,,,
GS_PACKET_05,tj_sink,nucleation,0,,,,
GS_PACKET_05,tj_sink,exchange,0,,,,
GS_PACKET_05,tj_sink,transport,0,,,,
GS_PACKET_2,gb_disconnection_sink,nucleation,0,,,,
GS_PACKET_2,gb_disconnection_sink,exchange,0,,,,
GS_PACKET_2,gb_disconnection_sink,transport,0,,,,
GS_PACKET_2,tj_sink,nucleation,0,,,,
GS_PACKET_2,tj_sink,exchange,0,,,,
GS_PACKET_2,tj_sink,transport,0,,,,
C_GB_FAST,gb_disconnection_sink,nucleation,741,0.0008951670039726735,0.0006325439750298756,0.0009118297102063018,1096.6960045354845
C_GB_FAST,gb_disconnection_sink,exchange,741,7.14144054016674e-05,1.7722995504954042e-05,6.585075346780348e-05,23439.89264568221
C_GB_FAST,gb_disconnection_sink,transport,552,1.4291173070512606,0.14610955735249215,0.378660430191362,3.328093697742532
C_GB_FAST,tj_sink,nucleation,0,,,,
C_GB_FAST,tj_sink,exchange,0,,,,
C_GB_FAST,tj_sink,transport,0,,,,
C_GB_SLOW,gb_disconnection_sink,nucleation,805,0.011847488730118445,0.008430369180054242,0.012018892384890565,83.2023424435633
C_GB_SLOW,gb_disconnection_sink,exchange,805,0.00012911942108412205,3.305800078123866e-11,4.344234948428209e-05,17773335667.499435
C_GB_SLOW,gb_disconnection_sink,transport,537,5.086095422535554,2.4636756410039857,6.358116000485932,0.1753405420429188
C_GB_SLOW,tj_sink,nucleation,0,,,,
C_GB_SLOW,tj_sink,exchange,0,,,,
C_GB_SLOW,tj_sink,transport,0,,,,
C_GBTJ_FAST,gb_disconnection_sink,nucleation,631,0.0009612452366748133,0.0006397655053884677,0.0009118297102063019,1096.6960045354845
C_GBTJ_FAST,gb_disconnection_sink,exchange,631,8.876763003009107e-05,8.606105527775298e-06,7.309738799863529e-05,66288.08217199061
C_GBTJ_FAST,gb_disconnection_sink,transport,344,2.473959483115296,0.1345573630269694,0.24250910477769017,5.200146402722706
C_GBTJ_FAST,tj_sink,nucleation,767,0.032764733227894575,0.001466343569120454,0.013316233626691197,732.9831028622477
C_GBTJ_FAST,tj_sink,exchange,767,6.396851342592461e-05,7.853304072824585e-06,6.894983272416205e-05,71701.86506973846
C_GBTJ_FAST,tj_sink,transport,655,1.023669681524271,0.02801953948455349,0.04807556953956226,20.800585610890824
C_GBTJ_SLOW,gb_disconnection_sink,nucleation,617,0.0117700408863881,0.008233177951554538,0.012018892384890567,83.2023424435633
C_GBTJ_SLOW,gb_disconnection_sink,exchange,617,0.00017018077756783632,1.1327983884257264e-08,6.334869538185863e-05,49306074.636002526
C_GBTJ_SLOW,gb_disconnection_sink,transport,187,6.536609885414035,2.4392006112601647,3.414965700691543,0.7013621681716752
C_GBTJ_SLOW,tj_sink,nucleation,1113,0.3322590714950486,0.02394720696650765,0.07958872646892576,39.56124286865255
C_GBTJ_SLOW,tj_sink,exchange,1113,2.744147536302075e-05,6.531033491796734e-09,3.166997879012531e-05,98163771.9596374
C_GBTJ_SLOW,tj_sink,transport,876,2.1997177903101512,0.4701769866747636,0.633687507843531,1.5780648783862692
