regime,window_frames,actual_abs_motion,circular_null_mean,circular_excess,block_null_mean,block_excess,release_frames,shuffles
G_LOW,1,,,,,,0,200
G_LOW,2,,,,,,0,200
G_LOW,4,,,,,,0,200
G_LOW,8,,,,,,0,200
G_HIGH,1,,,,,,0,200
G_HIGH,2,,,,,,0,200
G_HIGH,4,,,,,,0,200
G_HIGH,8,,,,,,0,200
T_LOW,1,,,,,,0,200
T_LOW,2,,,,,,0,200
T_LOW,4,,,,,,0,200
T_LOW,8,,,,,,0,200
T_HIGH,1,,,,,,0,200
T_HIGH,2,,,,,,0,200
T_HIGH,4,,,,,,0,200
T_HIGH,8,,,,,,0,200
GS_PACKET_05,1,,,,,,0,200
GS_PACKET_05,2,,,,,,0,200
GS_PACKET_05,4,,,,,,0,200
GS_PACKET_05,8,,,,,,0,200
GS_PACKET_2,1,,,,,,0,200
GS_PACKET_2,2,,,,,,0,200
GS_PACKET_2,4,,,,,,0,200
GS_PACKET_2,8,,,,,,0,200
C_GB_FAST,1,0.05085281586512131,0.050852815865121324,-1.3877787807814457e-17,0.050852815865121324,-1.3877787807814457e-17,45,200
C_GB_FAST,2,0.050994618937511775,0.050994618937511775,0.0,0.050994618937511775,0.0,45,200
C_GB_FAST,4,0.05070991839895161,0.05070991839895159,2.0816681711721685e-17,0.05070991839895159,2.0816681711721685e-17,45,200
C_GB_FAST,8,0.04895540188915851,0.04895540188915851,0.0,0.04895540188915851,0.0,45,200
C_GB_SLOW,1,0.03365977194857081,0.03334026227278369,0.00031950967578712325,0.0336215772996285,3.819464894230795e-05,70,200
C_GB_SLOW,2,0.03265326077876856,0.032415087108343885,0.00023817367042467535,0.03258843123662339,6.482954214517139e-05,70,200
C_GB_SLOW,4,0.03136069074228227,0.031582986032854136,-0.00022229529057186947,0.0316584683365273,-0.0002977775942450342,70,200
C_GB_SLOW,8,0.030086232344038254,0.03031800567970511,-0.0002317733356668565,0.030315602774139735,-0.00022937043010148178,70,200
C_GBTJ_FAST,1,0.051571653034447114,0.05157165303444712,-6.938893903907228e-18,0.05157165303444712,-6.938893903907228e-18,45,200
C_GBTJ_FAST,2,0.050937540804763974,0.050937540804763974,0.0,0.050937540804763974,0.0,45,200
C_GBTJ_FAST,4,0.05053608856399438,0.05053608856399437,6.938893903907228e-18,0.05053608856399437,6.938893903907228e-18,45,200
C_GBTJ_FAST,8,0.04939307247414657,0.049393072474146586,-1.3877787807814457e-17,0.049393072474146586,-1.3877787807814457e-17,45,200
C_GBTJ_SLOW,1,0.04567508322352171,0.04567508322352172,-6.938893903907228e-18,0.04567508322352172,-6.938893903907228e-18,52,200
C_GBTJ_SLOW,2,0.04454892473980517,0.044548924739805165,6.938893903907228e-18,0.044548924739805165,6.938893903907228e-18,52,200
C_GBTJ_SLOW,4,0.043235386257734376,0.043235386257734376,0.0,0.043235386257734376,0.0,52,200
C_GBTJ_SLOW,8,0.04158224078699313,0.04158224078699312,6.938893903907228e-18,0.04158224078699312,6.938893903907228e-18,52,200
