regime,entity_type,entity_time,G_fraction,T_fraction,C_fraction,blocked_fraction,G_and_C_fraction
G_LOW,GB,24864.679999999593,0.06429199973617196,0.0,0.0,0.06429199973617196,0.0
G_HIGH,GB,36389.599999999344,0.2162376063490667,0.0,0.0,0.2162376063490667,0.0
T_LOW,GB,22643.59999999964,0.0,0.0,0.0,0.0,0.0
T_LOW,TJ,11843.199999999815,0.0,0.023878681437449333,0.0,0.023878681437449333,0.0
T_HIGH,GB,36762.39999999934,0.0,0.0,0.0,0.0,0.0
T_HIGH,TJ,19435.199999999655,0.0,0.17856260805137042,0.0,0.17856260805137042,0.0
GS_PACKET_05,GB,36275.19999999934,0.0647494707127736,0.0,0.0,0.0647494707127736,0.0
GS_PACKET_2,GB,36286.39999999935,0.06669165307112318,0.0,0.0,0.06669165307112318,0.0
C_GB_FAST,GB,22182.79999999965,0.0,0.0,0.007378689795697566,0.007378689795697566,0.0
C_GB_SLOW,GB,35235.99999999937,0.0,0.0,0.09892155749801324,0.09892155749801324,0.0
C_GBTJ_FAST,GB,22239.91999999965,0.0,0.0,0.0035503724833542568,0.0035503724833542568,0.0
C_GBTJ_FAST,TJ,11625.91999999982,0.0,0.00020643527565990662,0.006870854091547163,0.007077289367207071,0.0
C_GBTJ_SLOW,GB,25542.639999999577,0.0,0.0,0.02401631154806234,0.02401631154806234,0.0
C_GBTJ_SLOW,TJ,13352.479999999781,0.0,0.004152037673900279,0.05561214096557335,0.05976417863947362,0.0
