regime,sink_path,completed_cycles,observed_cycle_intervals,observed_mean_cycle_time,observed_median_cycle_time,observed_p10_cycle_time,observed_p90_cycle_time,serial_stage_mean_prediction,hypoexponential_predicted_mean,hypoexponential_predicted_median,hypoexponential_predicted_p10,hypoexponential_predicted_p90,hypoexponential_ks_statistic,hypoexponential_ks_pvalue,hypoexponential_model
G_LOW,gb_disconnection_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
G_LOW,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
G_HIGH,gb_disconnection_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
G_HIGH,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
T_LOW,gb_disconnection_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
T_LOW,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
T_HIGH,gb_disconnection_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
T_HIGH,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
GS_PACKET_05,gb_disconnection_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
GS_PACKET_05,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
GS_PACKET_2,gb_disconnection_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
GS_PACKET_2,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
C_GB_FAST,gb_disconnection_sink,552,552,1.4301169977990695,0.1467695259297752,0.014895310323941403,3.032336043447314,0.37963811065503605,0.37713736279148163,0.15855641102399226,0.013443797290203004,0.9879864641551068,0.09501361197854119,9.155212216470773e-05,conditional_stage_rate_mixture
C_GB_FAST,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
C_GB_SLOW,gb_disconnection_sink,537,537,5.098024309641581,2.47713965898708,0.14236563026555446,13.497045297534907,6.370178335220307,6.377925166399006,2.627862317347983,0.18572131562065974,16.95870229045327,0.05035942412046224,0.12878225558770906,conditional_stage_rate_mixture
C_GB_SLOW,tj_sink,0,0,,,,,,,,,,,,conditional_stage_rate_mixture
C_GBTJ_FAST,gb_disconnection_sink,344,344,2.4749971151245957,0.13521798959417364,0.012439739445634502,9.42455481831732,0.2434940318758951,0.24380297503879375,0.10868589460477592,0.010326333948852283,0.5785071060676131,0.1970839389534883,3.7746628604155525e-12,conditional_stage_rate_mixture
C_GBTJ_FAST,tj_sink,489,654,1.0489553032952301,0.03246505305961733,0.007095900435556324,3.613567304930022,0.06146075299897762,0.06170533440186379,0.0379210312786675,0.007598980044816786,0.12147160969042771,0.16171736681152415,2.550749013177026e-15,conditional_stage_rate_mixture
C_GBTJ_SLOW,gb_disconnection_sink,187,187,6.548410171973978,2.4793155814738794,0.07975768046763854,19.638381927840665,3.4270479417718156,3.428013761800745,0.9869528737348845,0.08419544644222204,9.108383331261587,0.24128927139037426,5.128142188246987e-10,conditional_stage_rate_mixture
C_GBTJ_SLOW,tj_sink,856,876,2.4732613311558986,0.5668091568106641,0.10310962275747926,7.2697633058124564,0.7133079042912469,0.7004719456220807,0.49431505676296494,0.10170667145915216,1.5501546106141013,0.2343286870143395,2.1080890724697844e-42,conditional_stage_rate_mixture
