regime,topology_window,grain_count_start,grain_count_end,points,a,b,r2
G_LOW,0,200,183,8,23.038783063696236,-150.0909046422287,0.06266103438196546
G_LOW,1,183,166,8,36.407827415102524,-259.8594052603925,0.055978980190824035
G_LOW,2,164,154,8,-32.39308759420069,293.65328105728884,0.02148030447730498
G_LOW,3,153,142,8,48.33645404498591,-385.111452989013,0.4754425157469975
G_LOW,4,140,130,8,-103.92934977804822,920.8690484175958,0.7227081692088035
G_HIGH,0,200,186,11,663.5546749035201,-4753.962377941887,0.032691159083036214
G_HIGH,1,186,177,10,-246.6424684223789,1953.5818633575007,0.061818199058419676
G_HIGH,2,176,168,10,-664.8315440196872,5228.185137288243,0.38996199421327904
G_HIGH,3,167,158,10,34.22335591059856,-233.30329937851073,0.005667619478731956
G_HIGH,4,158,150,11,-68.27621927918756,623.544914675904,0.009629904883524665
T_LOW,0,200,184,8,409.00575793031095,-2969.685629448966,0.22788465619736098
T_LOW,1,182,166,8,49.59238358167141,-360.9171205590841,0.09683331973600473
T_LOW,2,165,157,8,96.84223002338719,-735.2969667729062,0.06250745681662107
T_LOW,3,154,141,8,-8.308444655335004,91.83764405661589,0.0030916260533120354
T_LOW,4,140,130,8,-84.92875782185435,757.257338473131,0.6184965825691181
T_HIGH,0,200,185,10,-210.33518168516,1582.6565077878688,0.20933362860483706
T_HIGH,1,185,176,9,-69.75535191721859,647.6965122739681,0.000832704154814734
T_HIGH,2,175,167,9,6923.2040197265,-52338.536186508434,0.2582837894651333
T_HIGH,3,166,157,9,-361.70000295017707,2838.7352129217657,0.11631707961466953
T_HIGH,4,154,139,9,56.83069908052895,-432.8739925393354,0.1491202981442752
GS_PACKET_05,0,200,184,10,5.449288843582471,-15.511892427542655,0.0018738350934149883
GS_PACKET_05,1,183,176,10,726.5028395453858,-5497.07215734985,0.1165237150913635
GS_PACKET_05,2,173,166,9,-220.6685974021046,1797.5488706994129,0.06588807719162859
GS_PACKET_05,3,166,159,10,-216.91791673017937,1792.2863615867445,0.21593540770669883
GS_PACKET_05,4,158,152,10,152.3357607446562,-1219.052104770193,0.36145001291961887
GS_PACKET_2,0,200,183,11,686.2741539727721,-5025.866324137209,0.2653436833707967
GS_PACKET_2,1,183,173,10,245.455550682665,-1785.5272079851725,0.007106852382634865
GS_PACKET_2,2,172,166,10,412.49046740991065,-3204.247062390955,0.6802026460020318
GS_PACKET_2,3,165,158,10,179.65927086399975,-1397.856868067119,0.13280793849905936
GS_PACKET_2,4,158,151,11,56.03267396214897,-425.816240500212,0.04942848908889863
C_GB_FAST,0,200,183,8,22.335376530116893,-144.0140658149832,0.07111532963985712
C_GB_FAST,1,180,170,7,-162.871308580271,1292.641824714945,0.09022059484920852
C_GB_FAST,2,168,154,7,12.729072038677057,-80.76138925326734,0.0037365891992235944
C_GB_FAST,3,153,141,7,36.77962456551092,-288.27549499074564,0.15203134760430304
C_GB_FAST,4,140,130,8,-18.308794448305722,179.4660358699188,0.05067241462426342
C_GB_SLOW,0,200,179,12,9.500770838196582,-33.73075296012709,0.003860276491304382
C_GB_SLOW,1,179,168,11,-17130.897063536708,133605.67554033673,0.10016235277630536
C_GB_SLOW,2,167,157,11,-421.24725232746823,3448.8883287212857,0.08460058580037899
C_GB_SLOW,3,156,147,11,312.31575851553566,-2408.440260191663,0.02564742302966827
C_GB_SLOW,4,146,134,11,-509.7846133941309,4371.806702060228,0.23314322017060984
C_GBTJ_FAST,0,200,183,8,10.114256654271665,-54.37382161107738,0.018403494356643568
C_GBTJ_FAST,1,181,165,8,-25.01319408234255,213.43089774517304,0.14390006037614478
C_GBTJ_FAST,2,165,157,7,90.58942425647828,-680.8994117153438,0.018980299833758263
C_GBTJ_FAST,3,153,142,8,66.59948196923622,-532.3607806626584,0.14815608808693814
C_GBTJ_FAST,4,140,130,8,-38.19927836859584,353.2359419396011,0.1059168322026608
C_GBTJ_SLOW,0,200,185,9,-1379.2595328903565,10320.291593326127,0.09786061370456789
C_GBTJ_SLOW,1,182,167,9,-110.01274463626874,886.9656876061727,0.043480536674023185
C_GBTJ_SLOW,2,167,157,9,4.676838149972943,4.9124648342299535,0.0003741177663081352
C_GBTJ_SLOW,3,156,142,9,-40.84910679764289,364.7031425615885,0.09607074523270587
C_GBTJ_SLOW,4,142,130,9,-92.07620230775501,810.7681990362331,0.4832110518091015
