regime,metric,metric_bin,time_bin,pairs,same_entity_fraction,same_gb_fraction,shared_tj_connectivity_fraction
C_GBTJ_FAST,distance,"(-inf, 4.0]","(-inf, 0.04]",76,0.15789473684210525,0.13157894736842105,0.8552631578947368
C_GBTJ_FAST,distance,"(-inf, 4.0]","(0.04, 0.16]",135,0.7333333333333333,0.6,0.34814814814814815
C_GBTJ_FAST,distance,"(-inf, 4.0]","(0.16, 0.32]",155,0.6580645161290323,0.535483870967742,0.34838709677419355
C_GBTJ_FAST,distance,"(-inf, 4.0]","(0.32, 1.0]",709,0.768688293370945,0.6770098730606487,0.2637517630465444
C_GBTJ_FAST,distance,"(16.0, 32.0]","(-inf, 0.04]",69,0.0,0.0,0.043478260869565216
C_GBTJ_FAST,distance,"(16.0, 32.0]","(0.04, 0.16]",138,0.0,0.0,0.021739130434782608
C_GBTJ_FAST,distance,"(16.0, 32.0]","(0.16, 0.32]",196,0.0,0.0,0.015306122448979591
C_GBTJ_FAST,distance,"(16.0, 32.0]","(0.32, 1.0]",861,0.0,0.0,0.012775842044134728
C_GBTJ_FAST,distance,"(32.0, 64.0]","(-inf, 0.04]",281,0.0,0.0,0.0
C_GBTJ_FAST,distance,"(32.0, 64.0]","(0.04, 0.16]",637,0.0,0.0,0.0
C_GBTJ_FAST,distance,"(32.0, 64.0]","(0.16, 0.32]",856,0.0,0.0,0.0
C_GBTJ_FAST,distance,"(32.0, 64.0]","(0.32, 1.0]",3290,0.0,0.0,0.00030395136778115504
C_GBTJ_FAST,distance,"(4.0, 8.0]","(-inf, 0.04]",20,0.0,0.0,0.65
C_GBTJ_FAST,distance,"(4.0, 8.0]","(0.04, 0.16]",23,0.0,0.0,0.4782608695652174
C_GBTJ_FAST,distance,"(4.0, 8.0]","(0.16, 0.32]",22,0.0,0.0,0.4090909090909091
C_GBTJ_FAST,distance,"(4.0, 8.0]","(0.32, 1.0]",85,0.0,0.0,0.47058823529411764
C_GBTJ_FAST,distance,"(64.0, inf]","(-inf, 0.04]",595,0.0,0.0,0.0
C_GBTJ_FAST,distance,"(64.0, inf]","(0.04, 0.16]",1506,0.0,0.0,0.0
C_GBTJ_FAST,distance,"(64.0, inf]","(0.16, 0.32]",1975,0.0,0.0,0.0
C_GBTJ_FAST,distance,"(64.0, inf]","(0.32, 1.0]",8046,0.0,0.0,0.00012428535918468804
C_GBTJ_FAST,distance,"(8.0, 16.0]","(-inf, 0.04]",21,0.0,0.0,0.3333333333333333
C_GBTJ_FAST,distance,"(8.0, 16.0]","(0.04, 0.16]",37,0.0,0.0,0.13513513513513514
C_GBTJ_FAST,distance,"(8.0, 16.0]","(0.16, 0.32]",41,0.0,0.0,0.0975609756097561
C_GBTJ_FAST,distance,"(8.0, 16.0]","(0.32, 1.0]",185,0.0,0.0,0.12972972972972974
C_GBTJ_SLOW,distance,"(-inf, 4.0]","(-inf, 0.04]",15,0.0,0.0,0.8
C_GBTJ_SLOW,distance,"(-inf, 4.0]","(0.04, 0.16]",32,0.1875,0.0,0.8125
C_GBTJ_SLOW,distance,"(-inf, 4.0]","(0.16, 0.32]",45,0.08888888888888889,0.0,0.8
C_GBTJ_SLOW,distance,"(-inf, 4.0]","(0.32, 1.0]",183,0.26229508196721313,0.01639344262295082,0.726775956284153
C_GBTJ_SLOW,distance,"(16.0, 32.0]","(-inf, 0.04]",81,0.0,0.0,0.0
C_GBTJ_SLOW,distance,"(16.0, 32.0]","(0.04, 0.16]",233,0.0,0.0,0.008583690987124463
C_GBTJ_SLOW,distance,"(16.0, 32.0]","(0.16, 0.32]",287,0.0,0.0,0.010452961672473868
C_GBTJ_SLOW,distance,"(16.0, 32.0]","(0.32, 1.0]",1256,0.0,0.0,0.004777070063694267
C_GBTJ_SLOW,distance,"(32.0, 64.0]","(-inf, 0.04]",267,0.0,0.0,0.0
C_GBTJ_SLOW,distance,"(32.0, 64.0]","(0.04, 0.16]",821,0.0,0.0,0.0
C_GBTJ_SLOW,distance,"(32.0, 64.0]","(0.16, 0.32]",1119,0.0,0.0,0.0
C_GBTJ_SLOW,distance,"(32.0, 64.0]","(0.32, 1.0]",4811,0.0,0.0,0.0004157139887757223
C_GBTJ_SLOW,distance,"(4.0, 8.0]","(-inf, 0.04]",6,0.0,0.0,0.3333333333333333
C_GBTJ_SLOW,distance,"(4.0, 8.0]","(0.04, 0.16]",20,0.0,0.0,0.5
C_GBTJ_SLOW,distance,"(4.0, 8.0]","(0.16, 0.32]",25,0.0,0.0,0.6
C_GBTJ_SLOW,distance,"(4.0, 8.0]","(0.32, 1.0]",149,0.0,0.0,0.42953020134228187
C_GBTJ_SLOW,distance,"(64.0, inf]","(-inf, 0.04]",727,0.0,0.0,0.0
C_GBTJ_SLOW,distance,"(64.0, inf]","(0.04, 0.16]",2174,0.0,0.0,0.0
C_GBTJ_SLOW,distance,"(64.0, inf]","(0.16, 0.32]",2883,0.0,0.0,0.0
C_GBTJ_SLOW,distance,"(64.0, inf]","(0.32, 1.0]",12075,0.0,0.0,8.281573498964803e-05
C_GBTJ_SLOW,distance,"(8.0, 16.0]","(-inf, 0.04]",12,0.0,0.0,0.25
C_GBTJ_SLOW,distance,"(8.0, 16.0]","(0.04, 0.16]",47,0.0,0.0,0.2553191489361702
C_GBTJ_SLOW,distance,"(8.0, 16.0]","(0.16, 0.32]",94,0.0,0.0,0.1276595744680851
C_GBTJ_SLOW,distance,"(8.0, 16.0]","(0.32, 1.0]",317,0.0,0.0,0.17034700315457413
C_GB_FAST,distance,"(-inf, 4.0]","(-inf, 0.04]",23,0.43478260869565216,0.43478260869565216,0.5652173913043478
C_GB_FAST,distance,"(-inf, 4.0]","(0.04, 0.16]",89,0.7528089887640449,0.7528089887640449,0.24719101123595505
C_GB_FAST,distance,"(-inf, 4.0]","(0.16, 0.32]",123,0.8130081300813008,0.8130081300813008,0.18699186991869918
C_GB_FAST,distance,"(-inf, 4.0]","(0.32, 1.0]",426,0.8356807511737089,0.8380281690140845,0.1619718309859155
C_GB_FAST,distance,"(16.0, 32.0]","(-inf, 0.04]",23,0.0,0.0,0.13043478260869565
C_GB_FAST,distance,"(16.0, 32.0]","(0.04, 0.16]",67,0.0,0.0,0.08955223880597014
C_GB_FAST,distance,"(16.0, 32.0]","(0.16, 0.32]",92,0.0,0.0,0.07608695652173914
C_GB_FAST,distance,"(16.0, 32.0]","(0.32, 1.0]",373,0.0,0.0,0.06166219839142091
C_GB_FAST,distance,"(32.0, 64.0]","(-inf, 0.04]",68,0.0,0.0,0.0
C_GB_FAST,distance,"(32.0, 64.0]","(0.04, 0.16]",201,0.0,0.0,0.0
C_GB_FAST,distance,"(32.0, 64.0]","(0.16, 0.32]",282,0.0,0.0,0.0
C_GB_FAST,distance,"(32.0, 64.0]","(0.32, 1.0]",1261,0.0,0.0,0.0031720856463124504
C_GB_FAST,distance,"(4.0, 8.0]","(-inf, 0.04]",2,0.0,0.0,0.5
C_GB_FAST,distance,"(4.0, 8.0]","(0.04, 0.16]",7,0.0,0.0,0.7142857142857143
C_GB_FAST,distance,"(4.0, 8.0]","(0.16, 0.32]",12,0.08333333333333333,0.08333333333333333,0.5833333333333334
C_GB_FAST,distance,"(4.0, 8.0]","(0.32, 1.0]",52,0.019230769230769232,0.019230769230769232,0.6153846153846154
C_GB_FAST,distance,"(64.0, inf]","(-inf, 0.04]",256,0.0,0.0,0.0
C_GB_FAST,distance,"(64.0, inf]","(0.04, 0.16]",704,0.0,0.0,0.0014204545454545455
C_GB_FAST,distance,"(64.0, inf]","(0.16, 0.32]",897,0.0,0.0,0.0
C_GB_FAST,distance,"(64.0, inf]","(0.32, 1.0]",3664,0.0,0.0,0.0002729257641921397
C_GB_FAST,distance,"(8.0, 16.0]","(-inf, 0.04]",10,0.0,0.0,0.3
C_GB_FAST,distance,"(8.0, 16.0]","(0.04, 0.16]",24,0.0,0.0,0.20833333333333334
C_GB_FAST,distance,"(8.0, 16.0]","(0.16, 0.32]",30,0.0,0.03333333333333333,0.23333333333333334
C_GB_FAST,distance,"(8.0, 16.0]","(0.32, 1.0]",120,0.0,0.008333333333333333,0.35833333333333334
C_GB_SLOW,distance,"(-inf, 4.0]","(-inf, 0.04]",2,0.0,0.0,1.0
C_GB_SLOW,distance,"(-inf, 4.0]","(0.04, 0.16]",21,0.09523809523809523,0.09523809523809523,0.9047619047619048
C_GB_SLOW,distance,"(-inf, 4.0]","(0.16, 0.32]",18,0.2222222222222222,0.2222222222222222,0.7777777777777778
C_GB_SLOW,distance,"(-inf, 4.0]","(0.32, 1.0]",67,0.1791044776119403,0.1791044776119403,0.8208955223880597
C_GB_SLOW,distance,"(16.0, 32.0]","(-inf, 0.04]",10,0.0,0.0,0.0
C_GB_SLOW,distance,"(16.0, 32.0]","(0.04, 0.16]",48,0.0,0.0,0.14583333333333334
C_GB_SLOW,distance,"(16.0, 32.0]","(0.16, 0.32]",69,0.0,0.0,0.17391304347826086
C_GB_SLOW,distance,"(16.0, 32.0]","(0.32, 1.0]",215,0.004651162790697674,0.004651162790697674,0.08837209302325581
C_GB_SLOW,distance,"(32.0, 64.0]","(-inf, 0.04]",44,0.0,0.0,0.0
C_GB_SLOW,distance,"(32.0, 64.0]","(0.04, 0.16]",162,0.0,0.0,0.0
C_GB_SLOW,distance,"(32.0, 64.0]","(0.16, 0.32]",199,0.0,0.0,0.0
C_GB_SLOW,distance,"(32.0, 64.0]","(0.32, 1.0]",877,0.0,0.0,0.0011402508551881414
C_GB_SLOW,distance,"(4.0, 8.0]","(-inf, 0.04]",1,0.0,0.0,0.0
C_GB_SLOW,distance,"(4.0, 8.0]","(0.04, 0.16]",1,0.0,0.0,1.0
C_GB_SLOW,distance,"(4.0, 8.0]","(0.16, 0.32]",7,0.0,0.0,0.8571428571428571
C_GB_SLOW,distance,"(4.0, 8.0]","(0.32, 1.0]",24,0.0,0.0,0.75
C_GB_SLOW,distance,"(64.0, inf]","(-inf, 0.04]",145,0.0,0.0,0.0
C_GB_SLOW,distance,"(64.0, inf]","(0.04, 0.16]",367,0.0,0.0,0.0
C_GB_SLOW,distance,"(64.0, inf]","(0.16, 0.32]",553,0.0,0.0,0.0
C_GB_SLOW,distance,"(64.0, inf]","(0.32, 1.0]",2185,0.0,0.0,0.0013729977116704805
C_GB_SLOW,distance,"(8.0, 16.0]","(-inf, 0.04]",5,0.0,0.0,0.2
C_GB_SLOW,distance,"(8.0, 16.0]","(0.04, 0.16]",9,0.0,0.0,0.4444444444444444
C_GB_SLOW,distance,"(8.0, 16.0]","(0.16, 0.32]",11,0.0,0.0,0.5454545454545454
C_GB_SLOW,distance,"(8.0, 16.0]","(0.32, 1.0]",57,0.0,0.0,0.2807017543859649
C_GBTJ_FAST,gb_arclength_separation,"(-inf, 6.0]","(-inf, 0.04]",10,1.0,1.0,0.0
C_GBTJ_FAST,gb_arclength_separation,"(-inf, 6.0]","(0.04, 0.16]",81,1.0,1.0,0.0
C_GBTJ_FAST,gb_arclength_separation,"(-inf, 6.0]","(0.16, 0.32]",83,1.0,1.0,0.0
C_GBTJ_FAST,gb_arclength_separation,"(-inf, 6.0]","(0.32, 1.0]",480,1.0,1.0,0.0
C_GBTJ_SLOW,gb_arclength_separation,"(-inf, 6.0]","(0.32, 1.0]",3,1.0,1.0,0.0
C_GB_FAST,gb_arclength_separation,"(-inf, 6.0]","(-inf, 0.04]",10,1.0,1.0,0.0
C_GB_FAST,gb_arclength_separation,"(-inf, 6.0]","(0.04, 0.16]",67,1.0,1.0,0.0
C_GB_FAST,gb_arclength_separation,"(-inf, 6.0]","(0.16, 0.32]",101,1.0,1.0,0.0
C_GB_FAST,gb_arclength_separation,"(-inf, 6.0]","(0.32, 1.0]",357,1.0,1.0,0.0
C_GB_FAST,gb_arclength_separation,"(6.0, 12.0]","(0.16, 0.32]",1,0.0,1.0,0.0
C_GB_FAST,gb_arclength_separation,"(6.0, 12.0]","(0.32, 1.0]",2,0.0,1.0,0.0
C_GB_SLOW,gb_arclength_separation,"(-inf, 6.0]","(0.04, 0.16]",2,1.0,1.0,0.0
C_GB_SLOW,gb_arclength_separation,"(-inf, 6.0]","(0.16, 0.32]",4,1.0,1.0,0.0
C_GB_SLOW,gb_arclength_separation,"(-inf, 6.0]","(0.32, 1.0]",13,1.0,1.0,0.0
