regime,N_required,N_accommodated_GB,N_accommodated_TJ,f_GB,f_TJ,stored,conservation_residual,max_abs_conservation_residual
C_GB,413.5000000000008,377.0,0.0,1.0,0.0,36.499999999999986,7.389644451905042e-13,7.958078640513122e-13
C_GBTJ,401.50000000000114,157.0,205.22632339803917,0.4334306754053256,0.5665693245946744,39.273676601961014,9.663381206337365e-13,1.3642420526593924e-12
GTSC_GB,292.4999999999995,263.0,0.0,1.0,0.0,29.5,-5.115907697472721e-13,8.526512829121202e-13
GTSC_GBTJ,339.5000000000002,131.0,178.34592654077952,0.4234741393393811,0.576525860660619,30.154073459220513,2.273736754432321e-13,1.2505552149377765e-12
