regime,metric,metric_bin,time_bin,pairs,same_entity_fraction,same_gb_fraction,shared_tj_connectivity_fraction
C_GB,distance,"(-inf, 4.0]","(-inf, 0.04]",8,0.0,0.0,1.0
C_GB,distance,"(-inf, 4.0]","(0.04, 0.16]",22,0.36363636363636365,0.36363636363636365,0.6363636363636364
C_GB,distance,"(-inf, 4.0]","(0.16, 0.32]",21,0.2857142857142857,0.2857142857142857,0.7142857142857143
C_GB,distance,"(-inf, 4.0]","(0.32, 1.0]",83,0.39759036144578314,0.39759036144578314,0.5903614457831325
C_GB,distance,"(16.0, 32.0]","(-inf, 0.04]",15,0.0,0.0,0.06666666666666667
C_GB,distance,"(16.0, 32.0]","(0.04, 0.16]",45,0.0,0.0,0.044444444444444446
C_GB,distance,"(16.0, 32.0]","(0.16, 0.32]",54,0.0,0.0,0.1111111111111111
C_GB,distance,"(16.0, 32.0]","(0.32, 1.0]",265,0.0,0.0,0.03773584905660377
C_GB,distance,"(32.0, 64.0]","(-inf, 0.04]",46,0.0,0.0,0.0
C_GB,distance,"(32.0, 64.0]","(0.04, 0.16]",124,0.0,0.0,0.0
C_GB,distance,"(32.0, 64.0]","(0.16, 0.32]",191,0.0,0.0,0.0
C_GB,distance,"(32.0, 64.0]","(0.32, 1.0]",807,0.0,0.0,0.0012391573729863693
C_GB,distance,"(4.0, 8.0]","(-inf, 0.04]",3,0.0,0.0,1.0
C_GB,distance,"(4.0, 8.0]","(0.04, 0.16]",4,0.0,0.0,0.5
C_GB,distance,"(4.0, 8.0]","(0.16, 0.32]",10,0.0,0.0,0.9
C_GB,distance,"(4.0, 8.0]","(0.32, 1.0]",33,0.0,0.0,0.7878787878787878
C_GB,distance,"(64.0, inf]","(-inf, 0.04]",137,0.0,0.0,0.0
C_GB,distance,"(64.0, inf]","(0.04, 0.16]",478,0.0,0.0,0.0020920502092050207
C_GB,distance,"(64.0, inf]","(0.16, 0.32]",556,0.0,0.0,0.0
C_GB,distance,"(64.0, inf]","(0.32, 1.0]",2487,0.0,0.0,0.0
C_GB,distance,"(8.0, 16.0]","(-inf, 0.04]",6,0.0,0.0,0.5
C_GB,distance,"(8.0, 16.0]","(0.04, 0.16]",15,0.0,0.0,0.26666666666666666
C_GB,distance,"(8.0, 16.0]","(0.16, 0.32]",16,0.0,0.0,0.4375
C_GB,distance,"(8.0, 16.0]","(0.32, 1.0]",60,0.0,0.0,0.26666666666666666
C_GBTJ,distance,"(-inf, 4.0]","(-inf, 0.04]",23,0.0,0.0,0.9130434782608695
C_GBTJ,distance,"(-inf, 4.0]","(0.04, 0.16]",32,0.28125,0.03125,0.8125
C_GBTJ,distance,"(-inf, 4.0]","(0.16, 0.32]",51,0.29411764705882354,0.0784313725490196,0.7254901960784313
C_GBTJ,distance,"(-inf, 4.0]","(0.32, 1.0]",154,0.2532467532467532,0.032467532467532464,0.7012987012987013
C_GBTJ,distance,"(16.0, 32.0]","(-inf, 0.04]",60,0.0,0.0,0.03333333333333333
C_GBTJ,distance,"(16.0, 32.0]","(0.04, 0.16]",164,0.0,0.0,0.012195121951219513
C_GBTJ,distance,"(16.0, 32.0]","(0.16, 0.32]",189,0.0,0.0,0.010582010582010581
