regime,topology_window,grain_count_start,grain_count_end,points,a,b,r2
B0,0,200,189,16,24.87750873838625,-169.71815570755456,0.08932393868974786
B0,1,189,179,16,-15.180882689397288,126.55021557715162,0.05364787692085571
B0,2,178,171,15,-27.001708061837622,221.01859417931013,0.11532469107888155
B0,3,170,160,16,18.95259481866053,-142.28582471700622,0.1732166410669329
B0,4,160,150,16,-12.378778347719454,109.50152963539585,0.16868274382503834
G,0,200,191,15,6.992922528425743,-38.96735460186928,0.008474737028991708
G,1,191,182,14,-21.586981880179465,172.7803548945714,0.190238340557351
G,2,182,172,15,-33.517973032491064,266.24299716085574,0.29280888332166255
G,3,172,163,14,-2.823933882050417,30.298011687410533,0.006897585047024091
G,4,163,153,15,-7.145561761673492,65.01178592679086,0.05979056989442133
C_GB,0,200,191,15,-40.2992425198917,308.8825539319592,0.13629718285415915
C_GB,1,191,179,14,-0.4099187365834049,11.2588336403268,9.724958664381056e-05
C_GB,2,179,171,14,-4.080281890644056,41.75699269101591,0.002081730556644512
C_GB,3,170,161,14,11.967786219974727,-87.0601878314479,0.11415600054529473
C_GB,4,161,150,15,1.7254330859818405,-7.784252390956782,0.0030773616285907357
C_GBTJ,0,200,191,15,-9.29014041059645,81.61880528926422,0.009206842090499046
C_GBTJ,1,191,181,14,-19.101286480740015,153.59177406225842,0.056259417542108836
C_GBTJ,2,179,169,15,-17.374257142472075,143.35645071397428,0.09319471143264968
C_GBTJ,3,169,161,14,-25.67512134970923,212.3734295102425,0.3153265810929584
C_GBTJ,4,161,150,15,-16.276858832687047,138.56624357937085,0.19292931198274121
GTSC_GB,0,200,192,12,-26.095139394674693,201.61810523548834,0.06466706333170602
GTSC_GB,1,192,184,11,1.3519661489126085,-1.3625816569257723,0.0006513063182433942
GTSC_GB,2,184,179,11,-5.962399626667998,55.406723824860165,0.25446893443310603
GTSC_GB,3,178,173,11,-1.0214781905088577,17.164089074673928,0.01211605567508467
GTSC_GB,4,173,167,12,-6.946833521285862,63.0283151458877,0.7176280451653765
GTSC_GBTJ,0,200,193,13,-41.007889872544375,312.36046099165645,0.17281860088467216
GTSC_GBTJ,1,192,184,12,-11.335653893805103,93.41223463835061,0.037723284009980707
GTSC_GBTJ,2,183,178,12,-6.673494111996863,61.03187699597249,0.27908544467898166
GTSC_GBTJ,3,177,171,12,-9.496325755239656,82.52262313466288,0.04376500695484553
GTSC_GBTJ,4,170,164,12,4.831267952247895,-30.22907042106371,0.04310075141794767
