regime,entity_type,entity_time,G_fraction,T_fraction,C_fraction,blocked_fraction,G_and_C_fraction
B0,GB,14302.239999999816,0.0,0.0,0.0,0.0,0.0
G,GB,20881.919999999678,0.1313365820767439,0.0,0.0,0.1313365820767439,0.0
C_GB,GB,17046.31999999976,0.0,0.0,0.034261940407079014,0.034261940407079014,0.0
C_GBTJ,GB,15447.119999999795,0.0,0.0,0.008581534939846385,0.008581534939846385,0.0
C_GBTJ,TJ,8250.399999999892,0.0,0.001250848443711816,0.016765247745563823,0.01801609618927564,0.0
GTSC_GB,GB,21542.079999999667,0.07406527132013263,0.0,0.019043657808345323,0.09293067336116113,0.0001782557673168048
GTSC_GB,TJ,11621.599999999822,0.0,0.046451435258484164,0.0,0.046451435258484164,0.0
GTSC_GBTJ,GB,21315.83999999967,0.07726836005524547,0.0,0.00474388998979163,0.08187713925418859,0.0001351107908484964
GTSC_GBTJ,TJ,11502.879999999825,0.0,0.00031991988093416903,0.010543446510786859,0.010863366391721026,0.0
