regime,sink_path,stage,events,observed_mean_residence,observed_median_residence,rate_implied_mean_residence,median_rate
G,gb_disconnection_sink,nucleation,0,,,,
G,gb_disconnection_sink,exchange,0,,,,
G,gb_disconnection_sink,transport,0,,,,
G,tj_sink,nucleation,0,,,,
G,tj_sink,exchange,0,,,,
G,tj_sink,transport,0,,,,
C_GB,gb_disconnection_sink,nucleation,539,0.003298608699020309,0.0023442789869690004,0.003310465701425629,302.072303473604
C_GB,gb_disconnection_sink,exchange,539,6.789068450793063e-05,2.0334129704799102e-07,3.6017913584715776e-05,4073138.1678980244
C_GB,gb_disconnection_sink,transport,377,1.3256764350151877,0.482324777564274,1.6640513471221856,0.6365869021433093
C_GB,tj_sink,nucleation,0,,,,
C_GB,tj_sink,exchange,0,,,,
C_GB,tj_sink,transport,0,,,,
C_GBTJ,gb_disconnection_sink,nucleation,455,0.00327833048523061,0.002192574726889201,0.0033104657014256297,302.072303473604
C_GBTJ,gb_disconnection_sink,exchange,455,0.00011301507885555685,1.5465479887894352e-07,7.334059170201753e-05,6972788.197156529
C_GBTJ,gb_disconnection_sink,transport,157,0.32881472033317855,0.10836730944810052,0.8679848247588461,2.546347608573237
C_GBTJ,tj_sink,nucleation,694,0.033076222667669616,0.005508651893540099,0.034978951791458344,201.89176706503133
C_GBTJ,tj_sink,exchange,694,4.27358081440469e-05,1.0841158579478898e-07,4.6745267452650806e-05,8615884.429864297
C_GBTJ,tj_sink,transport,525,0.13638302994609885,0.09535552958894995,0.17454193722336067,5.729282119289784
GTSC_GB,gb_disconnection_sink,nucleation,398,0.0033906144506236457,0.002466022184991543,0.0033104657014256292,302.072303473604
GTSC_GB,gb_disconnection_sink,exchange,398,0.0001190499620331282,3.4564351989119526e-06,7.726925937193447e-05,162177.51569183523
GTSC_GB,gb_disconnection_sink,transport,263,1.2633188697658533,0.5329328239135218,1.6068808574222888,0.9166851390863653
GTSC_GB,tj_sink,nucleation,0,,,,
GTSC_GB,tj_sink,exchange,0,,,,
GTSC_GB,tj_sink,transport,0,,,,
GTSC_GBTJ,gb_disconnection_sink,nucleation,356,0.003572447205400896,0.00254325829608473,0.003310465701425629,302.072303473604
GTSC_GBTJ,gb_disconnection_sink,exchange,356,0.0002414188142261767,4.149957813410379e-06,0.00020672081221651973,136959.46471370631
GTSC_GBTJ,gb_disconnection_sink,transport,131,0.3735152402326158,0.12825224720548592,0.9106825503218854,1.432320529822446
GTSC_GBTJ,tj_sink,nucleation,593,0.04814489523721184,0.005218939062517321,0.12557003878943848,192.6657944500308
GTSC_GBTJ,tj_sink,exchange,593,0.00017749565101343964,3.8890805934683575e-06,0.0001555928509545857,229680.59130223596
GTSC_GBTJ,tj_sink,transport,450,0.1385556461567152,0.0944043746150538,0.1745419372233607,5.729282119289784
