regime,window_frames,actual_abs_motion,circular_null_mean,circular_excess,block_null_mean,block_excess,release_frames,shuffles
G,1,,,,,,0,200
G,2,,,,,,0,200
G,4,,,,,,0,200
G,8,,,,,,0,200
C_GB,1,0.08298828685337074,0.08053306619445792,0.002455220658912821,0.08079554332850321,0.0021927435248675353,148,200
C_GB,2,0.08170872908928684,0.0796812612734602,0.0020274678158266335,0.0801188116942933,0.0015899173949935341,148,200
C_GB,4,0.08131089761083608,0.07883954587752795,0.002471351733308133,0.0791725228717375,0.0021383747390985863,148,200
C_GB,8,0.08051264336393538,0.07832104560797891,0.0021915977559564676,0.07807469038603293,0.0024379529779024467,148,200
C_GBTJ,1,0.08715149155517292,0.08760757643207233,-0.0004560848768994097,0.08759860267267193,-0.00044711111749901056,144,200
C_GBTJ,2,0.0863444803098428,0.08615273844027012,0.0001917418695726869,0.08626611860459382,7.836170524898323e-05,144,200
C_GBTJ,4,0.08461161326008583,0.0843660250800346,0.00024558818005122884,0.08430567260120209,0.0003059406588837438,144,200
C_GBTJ,8,0.0832424587167563,0.08307477377073727,0.00016768494601902828,0.08310996324684132,0.0001324954699149783,144,200
GTSC_GB,1,0.044265178685147885,0.04369821791340336,0.0005669607717445277,0.04417347225812364,9.170642702424625e-05,148,200
GTSC_GB,2,0.04314695998267754,0.043655330573570586,-0.0005083705908930439,0.044022277682795624,-0.000875317700118082,148,200
GTSC_GB,4,0.04239076615595281,0.04330627555344005,-0.0009155093974872394,0.0432782096094747,-0.0008874434535218884,148,200
GTSC_GB,8,0.042888260699029346,0.042541522909705184,0.00034673778932416133,0.042606197443139704,0.0002820632558896419,148,200
GTSC_GBTJ,1,0.04758696195286768,0.046959689700644985,0.0006272722522226923,0.04693286942160015,0.000654092531267525,176,200
GTSC_GBTJ,2,0.04815636284787867,0.04690222721341108,0.001254135634467593,0.04705574455743571,0.001100618290442959,176,200
GTSC_GBTJ,4,0.04839437573339973,0.046682756411963046,0.0017116193214366873,0.04690360831550242,0.001490767417897311,176,200
GTSC_GBTJ,8,0.04838360109826161,0.046839069426493136,0.001544531671768476,0.04684845537911842,0.001535145719143191,176,200
